subid	X
1	beaches
1	canyons
1	deserts
1	lakes
1	marshes
1	forests
2	fields
2	forests
2	lakes
2	beaches
2	lighthouses
2	bridges
3	waterfalls
3	lighthouses
3	canyons
3	deserts
3	marshes
3	lakes
4	marshes
4	waterfalls
4	canyons
4	mountains
4	beaches
4	lighthouses
5	lighthouses
5	deserts
5	fields
5	parks
5	forests
5	canyons
6	lakes
6	canyons
6	beaches
6	mountains
6	fields
6	bridges
7	waterfalls
7	marshes
7	beaches
7	mountains
7	deserts
7	canyons
8	fields
8	parks
8	waterfalls
8	deserts
8	mountains
8	forests
10	lakes
10	forests
10	deserts
10	bridges
10	parks
10	waterfalls
13	beaches
13	canyons
13	bridges
13	marshes
13	parks
13	lighthouses
14	mountains
14	lighthouses
14	parks
14	beaches
14	lakes
14	deserts
15	fields
15	marshes
15	waterfalls
15	beaches
15	forests
15	parks
16	marshes
16	beaches
16	mountains
16	parks
16	waterfalls
16	lakes
17	lighthouses
17	lakes
17	beaches
17	forests
17	bridges
17	mountains
19	fields
19	deserts
19	marshes
19	waterfalls
19	lighthouses
19	parks
20	lakes
20	marshes
20	forests
20	canyons
20	lighthouses
20	waterfalls
21	bridges
21	forests
21	lakes
21	fields
21	canyons
21	waterfalls
23	deserts
23	forests
23	beaches
23	waterfalls
23	bridges
23	mountains
24	canyons
24	deserts
24	lighthouses
24	fields
24	bridges
24	mountains
25	lighthouses
25	canyons
25	mountains
25	deserts
25	waterfalls
25	forests
26	lighthouses
26	beaches
26	parks
26	mountains
26	bridges
26	deserts
27	canyons
27	lighthouses
27	beaches
27	lakes
27	fields
27	parks
28	waterfalls
28	bridges
28	forests
28	beaches
28	deserts
28	lakes
29	marshes
29	waterfalls
29	fields
29	lighthouses
29	canyons
29	bridges
30	mountains
30	forests
30	marshes
30	fields
30	canyons
30	lakes
31	parks
31	mountains
31	deserts
31	canyons
31	fields
31	lighthouses
32	forests
32	bridges
32	mountains
32	waterfalls
32	canyons
32	lakes
33	lakes
33	lighthouses
33	forests
33	bridges
33	fields
33	marshes
34	waterfalls
34	mountains
34	marshes
34	beaches
34	parks
34	forests
36	lakes
36	bridges
36	marshes
36	parks
36	beaches
36	deserts
37	lighthouses
37	forests
37	beaches
37	fields
37	mountains
37	lakes
38	fields
38	canyons
38	deserts
38	parks
38	forests
38	waterfalls
39	fields
39	parks
39	beaches
39	lakes
39	mountains
39	forests
40	marshes
40	forests
40	lighthouses
40	mountains
40	deserts
40	lakes
41	waterfalls
41	bridges
41	lighthouses
41	canyons
41	parks
41	marshes
42	lighthouses
42	fields
42	forests
42	beaches
42	bridges
42	marshes
43	bridges
43	waterfalls
43	fields
43	canyons
43	parks
