subid	group	block	blocktrial	trial	img	category	ABX	TR	onset	encoded	rt	recogIdx	recogAcc	recogConf
39	0	1	0	0	canyons19.jpg	canyons	B	5	7.651003	1	0.737565517425537	-1	-1	-1
39	0	1	1	1	forests5.jpg	forests	X	8	11.98441	1	1.03233432769775	-1	-1	-1
39	0	1	2	2	fields34.jpg	fields	X	10	14.984247	1	0.688340902328491	-1	-1	-1
39	0	1	3	3	parks36.jpg	parks	X	13	19.484159	1	0.84067964553833	-1	-1	-1
39	0	1	4	4	lighthouses21.jpg	lighthouses	A	15	22.484489	1	0.838478088378906	-1	-1	-1
39	0	1	5	5	parks13.jpg	parks	X	17	25.484022	1	0.823556900024414	-1	-1	-1
39	0	1	6	6	lakes40.jpg	lakes	X	19	28.484155	1	0.789536952972412	-1	-1	-1
39	0	1	7	7	waterfalls43.jpg	waterfalls	A	21	31.48398	1	0.622573375701904	-1	-1	-1
39	0	1	8	8	lighthouses19.jpg	lighthouses	A	24	35.983923	1	0.682719707489014	-1	-1	-1
39	0	1	9	9	mountains48.jpg	mountains	X	27	40.483829	1	0.696813821792603	-1	-1	-1
39	0	1	10	10	lighthouses25.jpg	lighthouses	A	29	43.483762	1	1.16690468788147	-1	-1	-1
39	0	1	11	11	beaches31.jpg	beaches	X	31	46.483714	1	0.686905145645142	-1	-1	-1
39	0	1	12	12	waterfalls41.jpg	waterfalls	A	35	52.483599	1	0.72801399230957	-1	-1	-1
39	0	1	13	13	parks12.jpg	parks	X	37	55.483594	1	0.659058809280396	-1	-1	-1
39	0	1	14	14	canyons33.jpg	canyons	B	41	61.483528	1	0.823160648345947	-1	-1	-1
39	0	1	15	15	beaches11.jpg	beaches	X	44	65.983446	1	0.614238739013672	-1	-1	-1
39	0	1	16	16	bridges15.jpg	bridges	B	48	71.983357	1	0.96033763885498	-1	-1	-1
39	0	1	17	17	marshes4.jpg	marshes	A	52	77.983302	1	0.840484619140625	-1	-1	-1
39	0	1	18	18	waterfalls20.jpg	waterfalls	A	54	80.983233	1	0.62944483757019	-1	-1	-1
39	0	1	19	19	bridges42.jpg	bridges	B	57	85.483154	1	0.739569902420044	-1	-1	-1
39	0	1	20	20	lighthouses6.jpg	lighthouses	A	60	89.983116	1	0.685599803924561	-1	-1	-1
39	0	1	21	21	lakes13.jpg	lakes	X	63	94.483055	1	0.874671697616577	-1	-1	-1
39	0	1	22	22	forests9.jpg	forests	X	65	97.483117	1	0.727752447128296	-1	-1	-1
39	0	1	23	23	bridges19.jpg	bridges	B	69	103.482945	1	0.674815654754639	-1	-1	-1
39	0	1	24	24	mountains45.jpg	mountains	X	72	107.982949	1	0.756934642791748	-1	-1	-1
