subid	trial	img	categ	cond	rep	answer	trialdur	acc	rt	resp	group	block	ITI
1	0	lighthouses38.jpg	lighthouses	B	0	yes	1.000089	0	NaN	n	0	1	3.5
1	1	lakes45.jpg	lakes	X	0	yes	0.999924	1	0.949259519577026	k	0	1	2
1	2	parks31.jpg	parks	B	0	yes	0.999861	1	0.721395015716553	k	0	1	2
1	3	forests35.jpg	forests	X	0	no	0.999972	1	0.651114940643311	j	0	1	5
1	4	waterfalls25.jpg	waterfalls	A	0	no	0.999948	1	0.723209619522095	j	0	1	3.5
1	5	forests23.jpg	forests	X	1	no	0.999923	1	0.685299634933472	j	0	1	3.5
1	6	parks17.jpg	parks	B	1	yes	0.999843	1	0.610335826873779	k	0	1	3.5
1	7	waterfalls49.jpg	waterfalls	A	1	no	0.999994	1	0.567430734634399	j	0	1	2
1	8	deserts9.jpg	deserts	X	0	no	0.999886	1	0.606489896774292	j	0	1	3.5
1	9	waterfalls5.jpg	waterfalls	A	2	no	0.999983	1	0.591516733169556	j	0	1	2
1	10	marshes51.jpg	marshes	X	0	no	0.999931	1	0.559613704681397	j	0	1	5
1	11	deserts8.jpg	deserts	X	1	no	0.99993	1	0.575727462768555	j	0	1	3.5
1	12	fields39.jpg	fields	A	0	yes	0.999932	1	0.592823505401611	k	0	1	3.5
1	13	lighthouses12.jpg	lighthouses	B	1	yes	0.999865	1	0.685857534408569	k	0	1	3.5
1	14	canyons36.jpg	canyons	X	0	no	0.999997	1	0.509930610656738	j	0	1	3.5
1	15	mountains6.jpg	mountains	B	0	no	0.999941	1	0.759986877441406	j	0	1	3.5
1	16	parks34.jpg	parks	B	2	yes	1.000024	1	0.530081987380981	k	0	1	3.5
1	17	mountains22.jpg	mountains	B	1	no	0.999976	1	0.786167621612549	j	0	1	2
1	18	bridges48.jpg	bridges	A	0	yes	0.99994	1	0.830205917358398	k	0	1	2
1	19	fields43.jpg	fields	A	1	yes	0.999852	1	0.694228887557983	k	0	1	2
1	20	deserts20.jpg	deserts	X	2	no	0.999876	1	0.688278675079346	j	0	1	2
1	21	bridges3.jpg	bridges	A	1	yes	0.999864	1	0.45636248588562	k	0	1	3.5
1	22	beaches31.jpg	beaches	X	0	yes	1.000015	1	0.619422912597656	k	0	1	3.5
1	23	bridges43.jpg	bridges	A	2	yes	0.999986	1	0.543520927429199	k	0	1	5
1	24	fields4.jpg	fields	A	2	yes	0.999933	1	0.619620323181152	k	0	1	2
1	25	lakes15.jpg	lakes	X	1	yes	0.999999	1	0.588719606399536	k	0	1	3.5
1	26	marshes34.jpg	marshes	X	1	no	0.999924	1	0.518743991851807	j	0	1	2
1	27	mountains7.jpg	mountains	B	2	no	0.999918	1	0.597801923751831	j	0	1	3.5
1	28	parks47.jpg	parks	B	3	yes	0.999986	1	0.736960649490356	k	0	1	5
1	29	canyons43.jpg	canyons	X	1	no	0.999923	1	0.594980716705322	j	0	1	3.5
1	30	lighthouses51.jpg	lighthouses	B	2	yes	0.99993	1	0.617086887359619	k	0	1	3.5
1	31	lakes54.jpg	lakes	X	2	yes	1.000201	0	1.21408748626709	j	0	1	2
1	32	beaches37.jpg	beaches	X	1	yes	0.999916	1	0.710184574127197	k	0	1	2
1	33	lighthouses13.jpg	lighthouses	B	3	yes	0.999935	1	0.700269937515259	k	0	1	5
1	34	canyons6.jpg	canyons	X	2	no	0.999935	1	0.571355104446411	j	0	1	5
1	35	lighthouses5.jpg	lighthouses	B	4	yes	0.999934	1	0.510335683822632	k	0	1	2
1	36	deserts10.jpg	deserts	X	3	no	0.999998	1	0.495480537414551	j	0	1	5
1	37	fields8.jpg	fields	A	3	yes	0.999996	1	0.462571620941162	k	0	1	3.5
1	38	beaches35.jpg	beaches	X	2	yes	0.999996	1	0.507694721221924	k	0	1	2
1	39	parks25.jpg	parks	B	4	yes	0.999965	1	0.713667869567871	k	0	1	3.5
1	40	waterfalls8.jpg	waterfalls	A	3	no	0.999965	1	0.571732997894287	j	0	1	3.5
1	41	lakes46.jpg	lakes	X	3	yes	0.999921	1	0.788815259933472	k	0	1	2
