subID	trial	probed	truepair	foilpair	sideorder	cond	rt	resp	acc	left	right	group
1	0	parks	fields	bridges	0	B	2.23413968086243	j	0	fields	bridges	0
1	1	bridges	lighthouses	parks	0	A	1.82455110549927	j	0	lighthouses	parks	0
1	2	waterfalls	mountains	lighthouses	1	A	1.38554787635803	f	0	lighthouses	mountains	0
1	3	lighthouses	bridges	waterfalls	0	B	1.26940774917603	f	1	bridges	waterfalls	0
1	4	mountains	waterfalls	fields	1	B	0.985635042190552	j	1	fields	waterfalls	0
1	5	fields	parks	mountains	1	A	1.00835800170898	j	1	mountains	parks	0
1	6	parks	fields	bridges	1	B	0.800171852111816	f	0	bridges	fields	0
1	7	fields	parks	mountains	0	A	0.878798246383667	j	0	parks	mountains	0
1	8	lighthouses	bridges	waterfalls	1	B	0.921774864196777	j	1	waterfalls	bridges	0
1	9	mountains	waterfalls	fields	0	B	0.950078964233398	f	1	waterfalls	fields	0
1	10	bridges	lighthouses	parks	0	A	0.877266645431519	j	0	lighthouses	parks	0
1	11	waterfalls	mountains	lighthouses	1	A	0.668325662612915	f	0	lighthouses	mountains	0
2	0	waterfalls	marshes	deserts	1	B	3.16917705535889	j	1	deserts	marshes	1
2	1	parks	deserts	canyons	1	B	2.47893357276917	f	0	canyons	deserts	1
2	2	canyons	mountains	parks	0	A	2.88696837425232	f	1	mountains	parks	1
2	3	mountains	canyons	marshes	0	B	1.18960165977478	f	1	canyons	marshes	1
2	4	deserts	parks	waterfalls	1	A	2.10824036598206	f	0	waterfalls	parks	1
2	5	marshes	waterfalls	mountains	1	A	1.32904410362244	f	0	mountains	waterfalls	1
2	6	waterfalls	marshes	deserts	0	B	1.71512770652771	f	1	marshes	deserts	1
2	7	canyons	mountains	parks	0	A	1.16434669494629	f	1	mountains	parks	1
2	8	mountains	canyons	marshes	1	B	1.62005853652954	j	1	marshes	canyons	1
2	9	deserts	parks	waterfalls	1	A	1.91012191772461	j	1	waterfalls	parks	1
2	10	parks	deserts	canyons	0	B	0.936726808547974	f	1	deserts	canyons	1
2	11	marshes	waterfalls	mountains	0	A	1.18306636810303	j	0	waterfalls	mountains	1
3	0	bridges	fields	beaches	1	A	2.26913785934448	f	0	beaches	fields	0
3	1	fields	bridges	parks	1	B	4.12980389595032	f	0	parks	bridges	0
3	2	mountains	parks	forests	0	B	2.22418904304504	j	0	parks	forests	0
3	3	forests	beaches	mountains	1	A	3.08362817764282	f	0	mountains	beaches	0
3	4	parks	mountains	fields	0	A	2.18224811553955	j	0	mountains	fields	0
3	5	beaches	forests	bridges	1	B	1.60504817962646	f	0	bridges	forests	0
3	6	forests	beaches	mountains	0	A	1.59115886688232	j	0	beaches	mountains	0
3	7	fields	bridges	parks	0	B	4.33845448493958	f	1	bridges	parks	0
3	8	beaches	forests	bridges	0	B	2.26094770431519	j	0	forests	bridges	0
3	9	mountains	parks	forests	0	B	1.39466142654419	j	0	parks	forests	0
3	10	bridges	fields	beaches	1	A	2.82603526115417	j	1	beaches	fields	0
