"","subject","trial","Timebin","ps.adj","time.adj","img","categ","cond","rep","answer","trialdur","acc","rt","resp","group","block","ITI"
"1",79,81,0,-58.5529411764706,0,"lighthouses22.jpg","lighthouses","X",12,"yes",0.999847,1,0.574605226516724,"k",0,2,2
"2",79,81,1,-21.9529411764706,0.01,"lighthouses22.jpg","lighthouses","X",12,"yes",0.999847,1,0.574605226516724,"k",0,2,2
"3",79,81,2,-1.55294117647061,0.02,"lighthouses22.jpg","lighthouses","X",12,"yes",0.999847,1,0.574605226516724,"k",0,2,2
"4",79,81,3,24.9470588235294,0.03,"lighthouses22.jpg","lighthouses","X",12,"yes",0.999847,1,0.574605226516724,"k",0,2,2
"5",79,81,4,51.6470588235294,0.04,"lighthouses22.jpg","lighthouses","X",12,"yes",0.999847,1,0.574605226516724,"k",0,2,2
"6",79,81,5,70.7470588235294,0.05,"lighthouses22.jpg","lighthouses","X",12,"yes",0.999847,1,0.574605226516724,"k",0,2,2
"7",79,81,6,105.847058823529,0.06,"lighthouses22.jpg","lighthouses","X",12,"yes",0.999847,1,0.574605226516724,"k",0,2,2
"8",79,81,7,120.047058823529,0.07,"lighthouses22.jpg","lighthouses","X",12,"yes",0.999847,1,0.574605226516724,"k",0,2,2
"9",79,81,8,127.747058823529,0.08,"lighthouses22.jpg","lighthouses","X",12,"yes",0.999847,1,0.574605226516724,"k",0,2,2
"10",79,81,9,150.547058823529,0.09,"lighthouses22.jpg","lighthouses","X",12,"yes",0.999847,1,0.574605226516724,"k",0,2,2
"11",79,81,10,162.847058823529,0.1,"lighthouses22.jpg","lighthouses","X",12,"yes",0.999847,1,0.574605226516724,"k",0,2,2
"12",79,81,11,179.747058823529,0.11,"lighthouses22.jpg","lighthouses","X",12,"yes",0.999847,1,0.574605226516724,"k",0,2,2
"13",79,81,12,191.447058823529,0.12,"lighthouses22.jpg","lighthouses","X",12,"yes",0.999847,1,0.574605226516724,"k",0,2,2
"14",79,81,13,212.747058823529,0.13,"lighthouses22.jpg","lighthouses","X",12,"yes",0.999847,1,0.574605226516724,"k",0,2,2
