subID,Hispanic,Race,Race_nu
s1,No,Asian,Asian
s2,No,Asian,Asian
s3,No,Black or African American,Black or African American
s4,No,Asian,Asian
s5,Yes,White,White
s6,No,Asian,Asian
s8,No,Asian,Asian
s10,No,Black or African American,Black or African American
s13,No,White,White
s14,No,White,White
s15,No,Asian,Asian
s16,No,White,White
s17,No,Black or African American,Black or African American
s19,No,Black or African American,Black or African American
s7,No,Asian,Asian
s20,No,"White,Black or African American",More than one race
s21,No,Asian,Asian
s23,Yes,White,White
s24,No,Asian,Asian
s25,No,White,White
s26,No,White,White
s27,No,Black or African American,Black or African American
s28,No,Black or African American,Black or African American
s29,No,White,White
s30,No,White,White
s31,No,Asian,Asian
s32,Yes,White,White
s33,No,White,White
s34,No,White,White
s36,No,Asian,Asian
s37,No,White,White
s38,No,"White,Black or African American,Asian",More than one race
s39,No,White,White
s40,No,Asian,Asian
s41,Yes,White,White
s42,No,"White,Black or African American,Asian,Native Hawaiian or Pacific Islander",More than one race
s43,No,Black or African American,Black or African American
s44,No,Asian,Asian
s45,No,Asian,Asian
s46,No,"White,Asian",More than one race
s47,No,Asian,Asian
s48,No,Asian,Asian
s49,No,White,White
s50,No,Asian,Asian
s51,No,Asian,Asian
s52,No,Asian,Asian
s53,No,American Indian or Alaska Native,American Indian or Alaska Native
s54,No,Asian,Asian
s55,Yes,White,White
s56,Yes,White,White
s57,No,Asian,Asian
s58,No,Asian,Asian
s59,No,White,White
s60,No,"White,Asian",More than one race
s61,No,"Black or African American,Asian",More than one race
s62,Yes,White,White
s63,No,Asian,Asian
s64,No,Black or African American,Black or African American
s65,No,American Indian or Alaska Native,American Indian or Alaska Native
s66,No,Asian,Asian
s67,No,Black or African American,Black or African American
s68,No,Asian,Asian
s69,No,White,White
s71,No,Asian,Asian
s72,No,Asian,Asian
s73,No,White,White
s74,No,Asian,Asian
s75,No,White,White
s76,No,Asian,Asian
s77,No,White,White
s78,No,White,White
s79,No,Asian,Asian
s80,No,Black or African American,Black or African American
s81,No,White,White
s82,No,Asian,Asian
s83,No,White,White
s84,Yes,Black or African American,Black or African American
s85,No,White,White
s86,No,Asian,Asian
s87,No,White,White
s88,No,White,White
s89,Yes,White,White
s90,No,White,White
s91,No,Asian,Asian
s92,No,White,White
s93,No,Asian,Asian
s94,Yes,American Indian or Alaska Native,American Indian or Alaska Native
s95,No,"White,Asian",More than one race
s96,No,Asian,Asian
s98,No,Asian,Asian
s100,No,White,White
s101,No,White,White
s103,No,White,White
s105,No,White,White
s104,No,Asian,Asian
s106,No,Black or African American,Black or African American
