subID,group,familacc
1,Control,0.4166666666666667
2,Stress,0.6666666666666666
3,Control,0.25
4,Stress,0.08333333333333333
5,Control,0.5833333333333334
6,Stress,0.6666666666666666
7,Control,0.75
8,Control,0.5
10,Stress,0.8181818181818182
13,Control,0.2727272727272727
14,Stress,0.8181818181818182
15,Control,0.6363636363636364
16,Stress,0.3333333333333333
17,Control,0.7272727272727273
19,Stress,0.3333333333333333
20,Control,0.9090909090909091
21,Stress,0.75
23,Stress,0.5833333333333334
24,Stress,0.5833333333333334
25,Control,0.4166666666666667
26,Stress,0.2
27,Control,0.2727272727272727
28,Stress,0.4166666666666667
29,Control,0.2727272727272727
30,Stress,0.5
31,Control,0.75
32,Stress,0.4166666666666667
33,Stress,0.4166666666666667
34,Control,0.5833333333333334
36,Control,0.5
37,Stress,1.0
38,Stress,0.0
39,Control,0.4166666666666667
40,Stress,0.4166666666666667
41,Control,0.4166666666666667
42,Stress,0.5
43,Stress,0.3333333333333333
44,Control,0.75
45,Control,0.2727272727272727
46,Stress,0.8333333333333334
47,Stress,0.9166666666666666
48,Control,0.16666666666666666
49,Control,0.4166666666666667
50,Stress,0.9166666666666666
51,Control,0.2727272727272727
52,Control,0.5
53,Control,0.5833333333333334
54,Stress,0.9166666666666666
55,Stress,0.18181818181818182
56,Control,0.5
57,Control,0.45454545454545453
58,Stress,0.3333333333333333
59,Stress,0.75
60,Stress,0.4166666666666667
61,Stress,0.9090909090909091
62,Control,0.6666666666666666
63,Stress,0.16666666666666666
64,Control,0.0
65,Stress,0.4166666666666667
66,Stress,0.16666666666666666
67,Control,0.75
68,Stress,0.75
69,Control,0.4166666666666667
71,Control,0.5833333333333334
72,Stress,0.5833333333333334
73,Control,0.4166666666666667
74,Control,0.5833333333333334
75,Stress,0.8333333333333334
76,Control,0.7272727272727273
77,Stress,0.5833333333333334
78,Stress,0.3333333333333333
79,Control,0.25
80,Stress,0.6666666666666666
81,Control,0.75
82,Control,0.7272727272727273
83,Control,0.5
84,Stress,0.5
85,Stress,0.3333333333333333
86,Control,0.5
87,Control,0.16666666666666666
88,Stress,0.2727272727272727
89,Control,0.4166666666666667
90,Stress,0.6666666666666666
91,Control,0.5833333333333334
92,Stress,0.6666666666666666
93,Control,0.5454545454545454
94,Control,0.16666666666666666
95,Control,0.5833333333333334
96,Stress,0.5833333333333334
98,Stress,1.0
100,Control,0.5833333333333334
101,Stress,0.75
103,Stress,0.3333333333333333
104,Stress,0.5
105,Stress,0.5
106,Control,0.5
