subid,pairnum,familacc,ets,group
2,1,above,-0.042729234337111906,Stress
3,1,below,0.6880286340861428,Control
3,3,below,0.5740024103443483,Control
4,1,below,0.10481222671707727,Stress
4,2,below,0.18460959614146372,Stress
4,3,below,0.021112674516491438,Stress
5,1,above,0.19740638354634119,Control
5,2,above,0.12671822280273587,Control
5,3,below,-0.023752534586770766,Control
7,1,above,0.15036595949896253,Control
7,2,above,0.500070399189845,Control
8,1,below,0.24740851068192937,Control
8,3,above,0.3560895119667999,Control
10,1,above,0.27073060806169985,Stress
10,2,above,0.25483897167363095,Stress
13,2,below,0.14491752424940105,Control
13,3,below,-0.14237254309067776,Control
14,1,above,0.2428661772983478,Stress
14,2,above,-0.3190903619487661,Stress
14,3,below,0.08360887194570149,Stress
15,2,above,0.24506357712504126,Control
15,3,above,0.6254166907425018,Control
17,2,above,0.42783230852499454,Control
17,3,above,0.13057419100987272,Control
20,1,above,-0.26425962517108587,Control
20,2,above,-0.10189761761972453,Control
20,3,above,0.12130838172342008,Control
21,1,above,0.26976052512154675,Stress
21,2,below,0.3759496268023913,Stress
21,3,above,-0.09040822850550413,Stress
23,1,above,0.29456051902460767,Stress
23,3,below,0.30544270474799373,Stress
24,1,above,0.24759407658543683,Stress
24,2,below,0.40164754569005356,Stress
24,3,above,0.22602970367769887,Stress
28,1,above,0.4573950698756388,Stress
28,2,below,-0.044374300857267,Stress
28,3,below,0.4409015038968085,Stress
29,2,below,0.05663865159366409,Control
29,3,below,0.05933516008334011,Control
30,1,below,-0.007608407892693576,Stress
30,3,above,1.0320036544585085,Stress
31,2,above,0.5039642000593978,Control
31,3,above,0.40007684837761703,Control
32,1,below,0.11760471895662224,Stress
32,2,below,0.06567938044549201,Stress
32,3,above,0.18071664697839168,Stress
33,1,above,0.42315186502968716,Stress
33,2,below,0.11310518997511532,Stress
33,3,below,-0.0612424208788896,Stress
34,1,above,0.19565856023198572,Control
34,2,above,0.8402566909012822,Control
34,3,below,1.0684409983333634,Control
36,1,above,0.15003653859705418,Control
36,3,below,0.31207842570911176,Control
37,1,above,0.22214880380223315,Stress
37,2,above,0.26210192007055283,Stress
37,3,above,0.5112003495082381,Stress
38,1,below,0.15103021092422464,Stress
38,2,below,0.017001749181492568,Stress
38,3,below,0.26912077587027994,Stress
39,1,below,0.14984384245536872,Control
39,2,above,-0.1050292942514331,Control
39,3,below,0.35267257734600127,Control
40,3,below,0.5330459417338199,Stress
41,3,below,0.6002283880485265,Control
42,2,below,0.029165042532347175,Stress
42,3,above,0.050500285027400664,Stress
43,1,below,-0.17537545601320087,Stress
44,1,above,-0.232383120006615,Control
44,3,above,0.45775972804837195,Control
45,2,below,0.08048816961644564,Control
45,3,below,0.45287453375131015,Control
46,1,above,0.4499121075240431,Stress
46,3,above,0.0931003932616701,Stress
47,1,above,0.10849507639514493,Stress
47,2,above,0.12906193047144066,Stress
47,3,above,0.3459615665442842,Stress
48,1,below,0.3567938334284658,Control
48,3,below,0.29187817561778673,Control
49,2,above,-0.15408483341813076,Control
49,3,below,0.20600716391075316,Control
50,1,above,0.3720325395706145,Stress
50,2,above,0.299296825524965,Stress
50,3,above,0.03488365259124839,Stress
52,1,below,0.3945803233646149,Control
52,2,below,0.39990439315542337,Control
52,3,above,0.2817023382864039,Control
53,1,below,0.25627479064290304,Control
53,2,above,0.3792905961589589,Control
54,1,above,0.33072512307180496,Stress
54,2,above,0.2490796548082841,Stress
54,3,above,0.31788939540364064,Stress
55,1,below,0.43819823586541823,Stress
55,2,below,0.22601089199914307,Stress
55,3,below,0.6757977033510442,Stress
56,1,below,0.6551021593196173,Control
56,2,above,0.16192564855223526,Control
57,1,above,-0.0729749242797247,Control
57,3,below,0.46809415834333723,Control
58,1,above,0.09540780383358764,Stress
58,2,below,0.34634105030593654,Stress
58,3,below,0.3312640118440763,Stress
59,1,above,0.4398149128768301,Stress
59,2,above,-0.14663807910562854,Stress
60,2,below,-0.21243458534269616,Stress
60,3,above,-0.11537305573514973,Stress
61,1,above,0.3288396838071036,Stress
61,2,above,0.48362731942137543,Stress
61,3,above,-0.1696467368493035,Stress
62,1,above,0.19004690701588353,Control
62,2,below,0.8238658942738759,Control
62,3,above,0.5788337702651545,Control
63,1,below,0.11943696875579675,Stress
63,2,below,0.17593092209563135,Stress
63,3,below,0.05262943197248251,Stress
64,1,below,0.3250684506140849,Control
64,2,below,0.3249509101150541,Control
64,3,below,0.45065798419644143,Control
65,1,below,0.20571130548636618,Stress
65,2,below,0.11521830174917931,Stress
65,3,above,-0.028633905212826674,Stress
66,1,below,-0.07474175249817745,Stress
66,2,below,0.41506676001275666,Stress
66,3,below,0.35599538328154284,Stress
68,2,above,0.1333654748207978,Stress
68,3,above,0.08995029978510456,Stress
69,1,below,0.7311120141695623,Control
69,3,above,-0.021170086275306838,Control
71,1,above,0.35453841368362626,Control
71,2,below,0.4409526777676211,Control
72,1,above,0.4087007361850972,Stress
73,2,below,-0.359095052503273,Control
73,3,above,0.27265756404978336,Control
