subid,pairnum,familacc,ets,group
2,1,above,0.16747361946219375,Stress
3,1,below,0.48623870058473256,Control
3,3,below,0.8549120248335056,Control
4,1,below,0.45635285748663046,Stress
4,2,below,0.17610001415868598,Stress
4,3,below,0.22300667177995215,Stress
5,1,above,0.19231590124846118,Control
5,2,above,0.36821554126816947,Control
5,3,below,0.30308120537778066,Control
7,1,above,0.9008959691238891,Control
7,2,above,0.365890248138269,Control
8,1,below,0.3016622946617962,Control
8,3,above,0.37294907752910383,Control
10,1,above,0.5584812080505575,Stress
10,2,above,0.5032186503143072,Stress
13,2,below,0.29130252648016103,Control
13,3,below,0.22072690105058249,Control
14,1,above,0.3577732582116064,Stress
14,2,above,-0.00407284379506796,Stress
14,3,below,0.19369442650233595,Stress
15,2,above,0.5620573403117014,Control
15,3,above,0.9154008526317289,Control
17,2,above,0.4414904104173172,Control
17,3,above,0.019174457989464627,Control
20,1,above,0.439017223384613,Control
20,2,above,0.18473051428277465,Control
20,3,above,0.35791154456224505,Control
21,1,above,0.2571856310593387,Stress
21,2,below,0.5625343268506557,Stress
21,3,above,0.07840302847110453,Stress
23,1,above,0.41636618539647235,Stress
23,3,below,0.392772350834977,Stress
24,1,above,0.5177696852692947,Stress
24,2,below,0.08104863054463275,Stress
24,3,above,0.5909322725035716,Stress
28,1,above,0.3774245189054171,Stress
28,2,below,0.017630387496606097,Stress
28,3,below,0.3841463984166513,Stress
29,2,below,0.526049692183706,Control
29,3,below,0.05621567785423475,Control
30,1,below,0.365674693940898,Stress
30,3,above,1.1614849992441882,Stress
31,2,above,0.6673848040313018,Control
31,3,above,0.28120121497322176,Control
32,1,below,0.6527750856554975,Stress
32,2,below,0.16200656891182919,Stress
32,3,above,0.2726121578428453,Stress
33,1,above,0.729723103338833,Stress
33,2,below,0.32857576284370527,Stress
33,3,below,0.08704748732055878,Stress
34,1,above,0.42787101618399664,Control
34,2,above,0.8599957828770813,Control
34,3,below,0.9788684977971626,Control
36,1,above,0.47630321242375795,Control
36,3,below,0.906413467939088,Control
37,1,above,0.22275202223070525,Stress
37,2,above,0.1560125313935583,Stress
37,3,above,0.491986116763684,Stress
38,1,below,0.3577148358384951,Stress
38,2,below,0.4982746390730453,Stress
38,3,below,0.32410108893097017,Stress
39,1,below,0.1973698793937963,Control
39,2,above,0.14722861447427707,Control
39,3,below,0.32491029481178596,Control
40,3,below,0.8169790195122766,Stress
41,3,below,0.3704221761006079,Control
42,2,below,0.22376019689560428,Stress
42,3,above,0.23604890854410307,Stress
43,1,below,0.4336691346251942,Stress
44,1,above,0.12492890381228496,Control
44,3,above,0.7636771274377588,Control
45,2,below,0.47930546422991327,Control
45,3,below,0.4053693376677741,Control
46,1,above,0.5091769751866627,Stress
46,3,above,0.020962987598383203,Stress
47,1,above,-0.12112654510834034,Stress
47,2,above,0.23828837818206824,Stress
47,3,above,0.4801320581295557,Stress
48,1,below,0.5549185663540321,Control
48,3,below,0.30674120753515854,Control
49,2,above,0.36829458577350715,Control
49,3,below,0.8465008993759455,Control
50,1,above,0.07993110131887295,Stress
50,2,above,0.4538960050106037,Stress
50,3,above,0.23999774270258212,Stress
52,1,below,0.3001012497406314,Control
52,2,below,0.8454982641010345,Control
52,3,above,0.48188549209521186,Control
53,1,below,0.6826232419319049,Control
53,2,above,0.7098253164929608,Control
54,1,above,0.5743903022451241,Stress
54,2,above,0.3653020995466862,Stress
54,3,above,0.3899149873401654,Stress
55,1,below,1.010896141173931,Stress
55,2,below,0.4011775721455239,Stress
55,3,below,0.5431194477685458,Stress
56,1,below,0.6369152363159719,Control
56,2,above,0.19265701141017008,Control
57,1,above,0.216604112930755,Control
57,3,below,0.9122040806413125,Control
58,1,above,0.5426845589336843,Stress
58,2,below,0.7315367671133002,Stress
58,3,below,0.27223505022995476,Stress
59,1,above,0.647382545707216,Stress
59,2,above,0.12147619257251405,Stress
60,2,below,0.22498764968756393,Stress
60,3,above,0.031057327942795983,Stress
61,1,above,0.08466891392439402,Stress
61,2,above,-0.12319925212189158,Stress
61,3,above,0.4607371037983982,Stress
62,1,above,0.11338867011349893,Control
62,2,below,0.84605874092367,Control
62,3,above,0.6031709011961255,Control
63,1,below,0.051581581559462124,Stress
63,2,below,0.5217732934180285,Stress
63,3,below,-0.08896532774590904,Stress
64,1,below,0.36712909854759024,Control
64,2,below,0.05685498262735752,Control
64,3,below,0.33172707558034825,Control
65,1,below,0.5473833763816698,Stress
65,2,below,0.22563062809325954,Stress
65,3,above,0.39236424041390566,Stress
66,1,below,0.0071459910414457,Stress
66,2,below,0.40580596774202266,Stress
66,3,below,0.1302848448698564,Stress
68,2,above,0.42348583109655946,Stress
68,3,above,-0.05277544650928068,Stress
69,1,below,0.4536602028503876,Control
69,3,above,0.006577841674544298,Control
71,1,above,0.4642085560671299,Control
71,2,below,0.7982050179090211,Control
72,1,above,0.6211989761450449,Stress
73,2,below,-0.08676454636619331,Control
73,3,above,0.2696630251256944,Control
74,2,above,0.22734199788776052,Control
75,1,above,0.6706673297835996,Stress
75,2,above,0.17921481634981268,Stress
76,1,above,0.37995781369601145,Control
76,3,above,0.5047742529861304,Control
77,2,below,0.024655622686851862,Stress
77,3,above,0.3131321934379786,Stress
78,2,below,0.3690005135189519,Stress
79,1,below,0.3320053064800573,Control
79,2,below,0.11830782391381266,Control
79,3,above,0.5220614428684993,Control
80,1,above,0.45385885786649904,Stress
80,2,above,0.24617646247827293,Stress
80,3,below,0.741091714122108,Stress
81,1,above,0.45172724703404876,Control
81,3,above,0.4700756095160188,Control
82,1,above,0.3217083821988861,Control
82,2,below,0.5034720052352024,Control
82,3,above,0.39231483563654124,Control
83,2,below,0.4661632184346062,Control
83,3,above,0.16680130191208672,Control
84,1,above,-0.0468981402897049,Stress
84,3,below,0.4408486457709003,Stress
85,1,below,0.1424732878021598,Stress
86,1,below,0.29783698573795364,Control
86,3,above,0.5418070773171926,Control
87,1,below,0.39940407122595173,Control
87,2,below,0.6576574656850397,Control
87,3,below,0.2380703654484745,Control
88,1,below,0.28572033081576137,Stress
88,2,below,-0.0401270242826813,Stress
88,3,above,0.20140415844086704,Stress
89,1,above,0.42264512436934754,Control
89,2,below,0.9807795688010961,Control
89,3,below,0.6092309629033166,Control
90,3,above,0.4393429019822065,Stress
91,1,above,-0.3125765013021824,Control
91,2,above,0.7689274800647665,Control
91,3,below,0.07617605147296043,Control
92,1,below,0.12366417179837252,Stress
92,2,above,0.1595473471916929,Stress
92,3,above,0.5777504788852031,Stress
93,1,above,0.357642920852281,Control
94,2,below,0.02491577135303701,Control
94,3,below,0.6076661190882331,Control
95,1,above,0.4418796157850864,Control
95,2,below,0.2602713057194225,Control
96,1,above,0.4981265120752447,Stress
96,2,above,0.11169586246071216,Stress
96,3,below,0.6729032794912468,Stress
98,1,above,0.22255230037775858,Stress
98,2,above,0.5315927934739523,Stress
98,3,above,0.2475344241400598,Stress
100,2,above,0.27057145465747895,Control
101,1,above,-0.04036187319504577,Stress
101,2,above,0.27554266335784583,Stress
101,3,below,0.09329218873167384,Stress
103,1,above,0.11906029498685466,Stress
103,2,below,0.00336156508537832,Stress
103,3,below,0.4054235508001689,Stress
104,2,below,0.013452633434522989,Stress
