subid,pairnum,familacc,ets,group
2,1,above,0.05264279123544398,Stress
3,1,below,-0.17057608346548495,Control
3,3,below,-0.23236764930356354,Control
4,1,below,0.03536301300486774,Stress
4,2,below,-0.09515994518288486,Stress
4,3,below,-0.38402966456072773,Stress
5,1,above,0.4748767558424152,Control
5,2,above,0.4256119312414705,Control
5,3,below,0.03561802812012506,Control
7,1,above,-0.03043719160151329,Control
7,2,above,0.33532203519172527,Control
8,1,below,-0.13185629559645434,Control
8,3,above,0.07291324642208064,Control
10,1,above,0.47077635319461103,Stress
10,2,above,0.554719117436724,Stress
13,2,below,0.2447407174587917,Control
13,3,below,-0.3117028165415495,Control
14,1,above,-0.2002918414867711,Stress
14,2,above,-0.3354625105330852,Stress
14,3,below,0.36468389570379833,Stress
15,2,above,0.03802325056154464,Control
15,3,above,0.15271371322956162,Control
17,2,above,-0.2685269366819381,Control
17,3,above,0.23430363090309647,Control
20,1,above,0.12464964308117657,Control
20,2,above,0.1447878324325416,Control
20,3,above,-0.0026531374410471314,Control
21,1,above,-0.12437451918748546,Stress
21,2,below,0.32866399878239205,Stress
21,3,above,-0.07931828824492214,Stress
23,1,above,0.26384249239386104,Stress
23,3,below,-0.032219287465459746,Stress
24,1,above,0.16199345552086733,Stress
24,2,below,0.07980654466931167,Stress
24,3,above,0.34625080852268897,Stress
28,1,above,0.2735947082537303,Stress
28,2,below,0.19898520965887992,Stress
28,3,below,0.2851476947932533,Stress
29,2,below,0.21537121539816878,Control
29,3,below,-0.08527256756888359,Control
30,1,below,0.1535633495682259,Stress
30,3,above,-0.17197687355184424,Stress
31,2,above,-0.04895741452328129,Control
31,3,above,0.2966598121095998,Control
32,1,below,0.0338204890852878,Stress
32,2,below,-0.2926083810733189,Stress
32,3,above,0.4056031287800848,Stress
33,1,above,0.015444232347715461,Stress
33,2,below,0.1723594402264037,Stress
33,3,below,-0.23956582828751832,Stress
34,1,above,-0.05252634905787686,Control
34,2,above,0.6453143069991911,Control
34,3,below,0.5920761558645362,Control
36,1,above,-0.10414890514335064,Control
36,3,below,0.0008291903235144089,Control
37,1,above,-0.07384316173259464,Stress
37,2,above,0.31832067929146846,Stress
37,3,above,0.14598028466245097,Stress
38,1,below,0.2099667320803756,Stress
38,2,below,0.15169201610349856,Stress
38,3,below,-0.07055074247277504,Stress
39,1,below,0.3796319622533201,Control
39,2,above,0.21061723352917197,Control
39,3,below,0.08196219805124567,Control
40,3,below,0.5725060746978751,Stress
41,3,below,-0.1841362961132388,Control
42,2,below,0.21678517112787477,Stress
42,3,above,-0.38626606777427763,Stress
43,1,below,0.012757802835867967,Stress
44,1,above,0.15310204047598033,Control
44,3,above,0.3473764188410097,Control
45,2,below,-0.0012674721173031166,Control
45,3,below,0.4300691517566494,Control
46,1,above,0.27009794252137603,Stress
46,3,above,0.32697249047886906,Stress
47,1,above,0.2128013735125868,Stress
47,2,above,0.3141951519508153,Stress
47,3,above,0.20600186869618295,Stress
48,1,below,0.13047054481275128,Control
48,3,below,0.03791677405479578,Control
