subid,pairnum,familacc,ets,group
2,1,above,0.563783378648559,Stress
3,1,below,0.07443118661683776,Control
3,3,below,-0.3650180700010631,Control
4,1,below,0.346424582117274,Stress
4,2,below,0.40038199589063794,Stress
4,3,below,-0.09612144154673474,Stress
5,1,above,0.032940737152670804,Control
5,2,above,0.270043131690863,Control
5,3,below,0.36933742896459226,Control
7,1,above,0.3926397675248063,Control
7,2,above,0.18784300598895312,Control
8,1,below,0.12141091162301011,Control
8,3,above,0.4225012666965846,Control
10,1,above,0.9639822778159504,Stress
10,2,above,0.4546997043176822,Stress
13,2,below,0.4685182553409597,Control
13,3,below,-0.1383081948831712,Control
14,1,above,0.2998373384145699,Stress
14,2,above,0.4316700901553879,Stress
14,3,below,0.21072416471465055,Stress
15,2,above,0.4289851879037863,Control
15,3,above,0.24019433056382664,Control
17,2,above,0.055507832823769476,Control
17,3,above,0.11521933198716258,Control
20,1,above,0.3616391255822594,Control
20,2,above,0.08501145975103326,Control
20,3,above,0.3311681015948272,Control
21,1,above,0.3407521609925181,Stress
21,2,below,0.5519067197431468,Stress
21,3,above,0.09586887229652012,Stress
23,1,above,0.3600574942618183,Stress
23,3,below,0.07705841522125717,Stress
24,1,above,0.29079195891335663,Stress
24,2,below,0.055765083846886485,Stress
24,3,above,0.44029328064005246,Stress
28,1,above,0.7070548273454771,Stress
28,2,below,0.3508088064110386,Stress
28,3,below,0.22461890536976714,Stress
29,2,below,0.23716190097200393,Control
29,3,below,0.5085431568319941,Control
30,1,below,0.30701245537552463,Stress
30,3,above,-0.28889567528886945,Stress
31,2,above,0.18925252394623882,Control
31,3,above,0.3713686629211185,Control
32,1,below,0.5034341744744688,Stress
32,2,below,0.05366758319036116,Stress
32,3,above,0.23763416097607953,Stress
33,1,above,0.24856511395571573,Stress
33,2,below,0.25553390291833217,Stress
33,3,below,-0.01859354821128715,Stress
34,1,above,0.1410357067790926,Control
34,2,above,0.7366395389519793,Control
34,3,below,0.835531426795769,Control
36,1,above,0.1422132314888376,Control
36,3,below,0.27518497425066885,Control
37,1,above,-0.05455899297907324,Stress
37,2,above,0.4228531107376364,Stress
37,3,above,0.49305429251264093,Stress
38,1,below,0.2628648778900804,Stress
38,2,below,0.09700002521816478,Stress
38,3,below,0.26255914983083806,Stress
39,1,below,0.4656677533374546,Control
39,2,above,0.08947850879728259,Control
39,3,below,0.8023676400143817,Control
40,3,below,0.5601354105342002,Stress
41,3,below,0.6179478739978524,Control
42,2,below,0.3640341913328859,Stress
42,3,above,0.12708716238879256,Stress
43,1,below,-0.09760444638656184,Stress
44,1,above,0.27073655371387995,Control
