subid,pairnum,familacc,ets,group
2,1,above,0.5733122436167457,Stress
3,1,below,-0.2198158217856005,Control
3,3,below,-0.227236396647776,Control
4,1,below,0.09008041911966137,Stress
4,2,below,0.21850392496957322,Stress
4,3,below,-0.13161627227593098,Stress
5,1,above,0.5182401603242018,Control
5,2,above,0.20109754283073306,Control
5,3,below,0.19832472148826424,Control
7,1,above,0.31970596658712636,Control
7,2,above,0.2448013828229444,Control
8,1,below,-0.1321645805367432,Control
8,3,above,0.3739063742061869,Control
10,1,above,0.9490038323291896,Stress
10,2,above,0.207761229916904,Stress
13,2,below,0.5534094102361443,Control
13,3,below,0.20855357317918868,Control
14,1,above,0.2074340910277141,Stress
14,2,above,0.3182442092350258,Stress
14,3,below,-0.07560239990758978,Stress
15,2,above,0.16612508387461983,Control
15,3,above,0.03803882235941673,Control
17,2,above,-0.03794917572276753,Control
17,3,above,0.3728855186258608,Control
20,1,above,0.06141382646804213,Control
20,2,above,-0.012814718700389157,Control
20,3,above,0.25420248977044974,Control
21,1,above,0.22443065099863263,Stress
21,2,below,0.24115172026237752,Stress
21,3,above,0.2646923617899959,Stress
23,1,above,0.3354515457418093,Stress
23,3,below,0.04365692263743407,Stress
24,1,above,0.5788237022168387,Stress
24,2,below,0.3588872405679683,Stress
24,3,above,-0.03550369837512023,Stress
28,1,above,0.5587084485465424,Stress
28,2,below,0.4178221018537625,Stress
28,3,below,0.27864487601844073,Stress
29,2,below,0.2066741529849469,Control
29,3,below,0.3033861433446235,Control
30,1,below,0.25522728009704965,Stress
30,3,above,-0.1335177382115435,Stress
31,2,above,-0.22702768827325362,Control
31,3,above,0.591451651470823,Control
32,1,below,0.042696600622660875,Stress
32,2,below,0.1329572123619716,Stress
32,3,above,0.4089438675702793,Stress
33,1,above,-0.09441084777206903,Stress
33,2,below,0.08740594487655325,Stress
33,3,below,0.2084941478571912,Stress
34,1,above,0.1275660845792705,Control
34,2,above,0.8644546322152588,Control
34,3,below,0.6750152025485244,Control
36,1,above,0.1903700309572958,Control
36,3,below,0.5119110722430789,Control
37,1,above,-0.07775826114498371,Stress
37,2,above,0.2867025951694381,Stress
37,3,above,0.4456929760321724,Stress
38,1,below,-0.2710461092269717,Stress
38,2,below,-0.023221680219545498,Stress
38,3,below,0.267025614040865,Stress
39,1,below,0.3555903915075918,Control
39,2,above,0.03628215163174852,Control
39,3,below,0.4244644012181392,Control
40,3,below,0.16741163662236191,Stress
41,3,below,0.2770964877398704,Control
42,2,below,0.37418996246207886,Stress
42,3,above,0.08820514841965131,Stress
43,1,below,0.3147770618138203,Stress
44,1,above,0.20337999816390567,Control
