subid,recog,ets,group
2,remembered,0.45200663711921973,Stress
2,forgotten,0.2703136208059883,Stress
3,remembered,0.6567806332435172,Control
3,forgotten,0.37190287898714425,Control
4,remembered,0.10760151245884718,Stress
4,forgotten,0.0976910955345513,Stress
5,remembered,0.0454947229338116,Control
5,forgotten,0.14109599966098665,Control
7,remembered,0.14553456899236977,Control
7,forgotten,0.04491844360541556,Control
8,remembered,0.13300474911243318,Control
8,forgotten,0.5278486118136176,Control
10,remembered,0.37569535881826,Stress
10,forgotten,0.3574812284249984,Stress
13,remembered,0.210530086192244,Control
13,forgotten,-0.09302525746452747,Control
14,remembered,-0.10064901993441584,Stress
14,forgotten,0.11171407452727523,Stress
15,remembered,0.3512546712562444,Control
15,forgotten,0.3704266620100626,Control
17,remembered,0.39663515970334645,Control
17,forgotten,0.20379600298549091,Control
20,remembered,-0.0797195317295643,Control
20,forgotten,-0.08449935506767016,Control
21,remembered,0.2230367748290166,Stress
21,forgotten,0.09724854206896746,Stress
23,remembered,0.12095304613925276,Stress
23,forgotten,0.3198720032178542,Stress
24,remembered,0.11951988716047492,Stress
24,forgotten,0.48121805229071024,Stress
28,remembered,0.19992682931202752,Stress
28,forgotten,0.41340592869446957,Stress
29,remembered,0.16284536089895643,Control
29,forgotten,-0.020663349497623672,Control
30,remembered,0.29221562934553935,Stress
30,forgotten,0.6224862879964934,Stress
31,remembered,0.4765197078468465,Control
31,forgotten,0.228376704183754,Control
32,remembered,0.1016541271148931,Stress
32,forgotten,0.22403963450595588,Stress
33,remembered,0.0880920514587079,Stress
33,forgotten,0.20171561426911333,Stress
34,remembered,0.7775761823176055,Control
34,forgotten,0.6177155740772757,Control
36,remembered,0.13821978469782684,Control
36,forgotten,0.16352931583264205,Control
37,remembered,0.26121633102601843,Stress
37,forgotten,0.3579085850773738,Stress
38,remembered,0.04891509407708485,Stress
38,forgotten,0.2747875581007735,Stress
39,remembered,0.32396790315137897,Control
39,forgotten,0.022399196601673957,Control
40,remembered,0.1720223986301235,Stress
40,forgotten,0.5864661738306903,Stress
41,remembered,0.38085540842454396,Control
41,forgotten,0.13445330345751552,Control
42,remembered,-0.1029121457193186,Stress
42,forgotten,0.05550927302169003,Stress
43,remembered,0.26618741630447834,Stress
43,forgotten,0.18471281958080524,Stress
44,remembered,-0.23808557629454838,Control
44,forgotten,0.29168771356673195,Control
45,remembered,0.42765948874044785,Control
45,forgotten,0.31454077469549646,Control
46,remembered,0.3523930038551834,Stress
46,forgotten,0.17327225809118993,Stress
47,remembered,0.08624198656680439,Stress
47,forgotten,0.25568761016717806,Stress
48,remembered,1.2024095672185249,Control
48,forgotten,0.37629191563743,Control
49,remembered,0.19660952367138132,Control
49,forgotten,-0.010300126935997023,Control
50,remembered,0.22033872981705957,Stress
50,forgotten,0.2440670646407755,Stress
52,remembered,0.37475412199763936,Control
52,forgotten,0.3265776639416593,Control
53,remembered,0.4579669120695191,Control
53,forgotten,0.21003838264409488,Control
54,remembered,0.0060930556475829265,Stress
54,forgotten,0.4355748029303875,Stress
55,remembered,0.21097026395846252,Stress
55,forgotten,0.6234429535735897,Stress
56,remembered,0.6593249573859736,Control
56,forgotten,0.3697939855075858,Control
57,remembered,0.1103067997899669,Control
57,forgotten,0.2533791428639914,Control
58,remembered,0.40753794120401166,Stress
58,forgotten,0.16544511786562388,Stress
59,remembered,0.21214308493198114,Stress
59,forgotten,0.5063952443858568,Stress
60,remembered,0.05741032190312843,Stress
60,forgotten,-0.18354299528448317,Stress
61,remembered,0.03892281239845147,Stress
61,forgotten,0.284413666017568,Stress
62,remembered,0.619516774235301,Control
62,forgotten,0.43945616861688874,Control
63,remembered,0.2409742187096991,Stress
63,forgotten,-0.07396306126665769,Stress
64,remembered,0.41309704610304193,Control
64,forgotten,0.30528631791583993,Control
65,remembered,0.13372203599932478,Stress
65,forgotten,0.0683997924141715,Stress
66,remembered,0.16670126884409275,Stress
66,forgotten,0.3087891402075659,Stress
68,remembered,0.3452244404834686,Stress
68,forgotten,0.1446837661889914,Stress
69,remembered,0.36356404583713553,Control
69,forgotten,0.18672622500443162,Control
71,remembered,0.47395636177306005,Control
71,forgotten,0.32396710422767416,Control
