subid,recog,ets,group
2,remembered,0.4116886539310081,Stress
2,forgotten,0.39730085292227507,Stress
3,remembered,0.8960305962448046,Control
3,forgotten,0.45531656256658337,Control
4,remembered,0.26171886436993264,Stress
4,forgotten,0.3185020165478128,Stress
5,remembered,0.36012051744679346,Control
5,forgotten,0.23368365651997802,Control
7,remembered,0.3235935599510959,Control
7,forgotten,1.0854546911146328,Control
8,remembered,0.2107942216865499,Control
8,forgotten,0.4710362457362834,Control
10,remembered,0.35867783128721126,Stress
10,forgotten,0.809691453134278,Stress
13,remembered,0.45030365761846947,Control
13,forgotten,-0.03680240913494605,Control
14,remembered,-0.0706209110760591,Stress
14,forgotten,0.4443613162745886,Stress
15,remembered,0.5578568116644035,Control
15,forgotten,0.6280461682041124,Control
17,remembered,0.44074556111023455,Control
17,forgotten,0.17901923670658756,Control
20,remembered,0.39043829417834264,Control
20,forgotten,0.23112758992181048,Control
21,remembered,0.39803779944788603,Stress
21,forgotten,0.07089050201558378,Stress
23,remembered,0.3562057226331809,Stress
23,forgotten,0.44054530060467845,Stress
24,remembered,0.3233705214465853,Stress
24,forgotten,0.47711783823100534,Stress
28,remembered,0.1349627058711344,Stress
28,forgotten,0.4493857831235624,Stress
29,remembered,0.3335951377641893,Control
29,forgotten,0.2345096072139852,Control
30,remembered,0.6418858976961472,Stress
30,forgotten,0.8745150954982753,Stress
31,remembered,0.4242446899350948,Control
31,forgotten,0.4050427064677129,Control
32,remembered,0.4347220228206411,Stress
32,forgotten,-0.04230502117152198,Stress
33,remembered,0.41611747867581894,Stress
33,forgotten,0.3473193298515254,Stress
34,remembered,0.856874679547814,Control
34,forgotten,0.6441525602981731,Control
36,remembered,0.5200681858316231,Control
36,forgotten,0.7421437926851405,Control
37,remembered,0.17021530161538298,Stress
37,forgotten,0.3346109554496823,Stress
38,remembered,0.30313425006158706,Stress
38,forgotten,0.5136692162398367,Stress
39,remembered,0.1453096332563512,Control
39,forgotten,0.26793907493452424,Control
40,remembered,0.037646472899309856,Stress
40,forgotten,0.8177001983871691,Stress
41,remembered,0.4692323136369114,Control
41,forgotten,0.12178834859683602,Control
42,remembered,0.1758731960602527,Stress
42,forgotten,0.15990133801956607,Stress
43,remembered,0.2464343397968634,Stress
43,forgotten,0.4164020188037453,Stress
44,remembered,0.24686443731135432,Control
44,forgotten,0.5453666669740707,Control
45,remembered,0.5631946925266649,Control
45,forgotten,0.4675173203164296,Control
46,remembered,0.302004951796905,Stress
46,forgotten,0.14452589027787263,Stress
47,remembered,0.14116455967601924,Stress
47,forgotten,0.22998157560536164,Stress
48,remembered,0.961190391349771,Control
48,forgotten,0.3888474746485857,Control
49,remembered,0.4975495406755611,Control
49,forgotten,0.46698474807035706,Control
50,remembered,0.3527456182176902,Stress
50,forgotten,0.20342931526665894,Stress
52,remembered,0.3901438299536672,Control
52,forgotten,0.7850263285581519,Control
53,remembered,0.8125837945122392,Control
53,forgotten,0.4980950411421381,Control
54,remembered,0.230673773621424,Stress
54,forgotten,0.5420530162637908,Stress
55,remembered,0.31948355367590414,Stress
55,forgotten,0.9009166787110724,Stress
56,remembered,0.5092980906584217,Control
56,forgotten,0.35720337410365793,Control
57,remembered,0.5144468378239012,Control
57,forgotten,0.40270748536550954,Control
58,remembered,0.6977295263551997,Stress
58,forgotten,0.40333526331515207,Stress
59,remembered,0.5817117932151444,Stress
59,forgotten,0.4917756767537577,Stress
60,remembered,0.024479761577270415,Stress
60,forgotten,0.16059247031817692,Stress
61,remembered,-0.2021015586626169,Stress
61,forgotten,0.2778704474121337,Stress
62,remembered,0.45391091369235026,Control
62,forgotten,0.5899946877014186,Control
63,remembered,0.2666448540522451,Stress
63,forgotten,0.0015870415151159783,Stress
64,remembered,0.27630624445632596,Control
64,forgotten,0.2193670182012402,Control
65,remembered,0.561975799094884,Stress
65,forgotten,0.24964630765739376,Stress
66,remembered,0.15770813879588816,Stress
66,forgotten,0.20847917785033182,Stress
68,remembered,0.6641572188617711,Stress
68,forgotten,0.2704034920406521,Stress
69,remembered,0.3645310981488844,Control
69,forgotten,-0.008908657507298951,Control
71,remembered,0.8135807791596511,Control
71,forgotten,0.4159236419368286,Control
72,remembered,0.6409707257757873,Stress
72,forgotten,0.5217133267794892,Stress
73,remembered,0.07269567689533607,Control
73,forgotten,0.08792287045125594,Control
74,remembered,0.4753368667859479,Control
74,forgotten,0.14415403849317718,Control
75,remembered,0.3940402409350979,Stress
75,forgotten,0.46602899590104974,Stress
76,remembered,0.8392387446636652,Control
76,forgotten,0.44782129261261694,Control
77,remembered,0.17346950220851004,Stress
77,forgotten,0.16538460363109395,Stress
78,remembered,0.18636971746866762,Stress
78,forgotten,0.33091235275243003,Stress
79,remembered,0.2676470981637143,Control
79,forgotten,0.3449970732549264,Control
80,remembered,0.3577902719240504,Stress
80,forgotten,0.5736291716978227,Stress
81,remembered,0.3000994435254618,Control
81,forgotten,0.3781404664400105,Control
82,remembered,0.7679591767754135,Control
82,forgotten,0.31167860772805694,Control
83,remembered,0.3227545632800621,Control
83,forgotten,-0.01898609779592233,Control
84,remembered,0.3231592844955789,Stress
84,forgotten,0.3290196110635992,Stress
85,remembered,0.2559596647836256,Stress
85,forgotten,0.18237235893056838,Stress
86,remembered,0.4711551449069507,Control
86,forgotten,0.42446290808893006,Control
87,remembered,0.3460082381597053,Control
87,forgotten,0.5807582792678511,Control
88,remembered,0.4219391671761834,Stress
88,forgotten,-0.15123485841203885,Stress
89,remembered,0.5510293406818343,Control
89,forgotten,0.7798451077907254,Control
90,remembered,0.6688204258899053,Stress
90,forgotten,0.34605878675383805,Stress
91,remembered,0.3674553162521187,Control
91,forgotten,-0.48730306152909836,Control
92,remembered,0.3459576709202831,Stress
92,forgotten,0.1873786592090391,Stress
93,remembered,0.29679311864526775,Control
93,forgotten,0.588063629730888,Control
94,remembered,0.40610935409847854,Control
94,forgotten,0.4529667841388697,Control
95,remembered,0.3040649062203218,Control
95,forgotten,-0.03498160395124032,Control
96,remembered,0.6493621364496251,Stress
96,forgotten,0.3000477399057477,Stress
98,remembered,0.3596745752324719,Stress
98,forgotten,0.31592619836891805,Stress
100,remembered,0.307209768816304,Control
100,forgotten,0.37641534826818773,Control
101,remembered,0.18140760477814982,Stress
101,forgotten,0.07588606352265448,Stress
103,remembered,0.14167140958308325,Stress
103,forgotten,0.19432981745444736,Stress
104,remembered,0.5181388249880614,Stress
104,forgotten,-0.21738503025513956,Stress
105,remembered,0.4109089700236447,Stress
105,forgotten,0.5707390125780761,Stress
106,remembered,0.15371144766527753,Control
106,forgotten,0.14792224750317756,Control
