subid,recog,ets,group
2,remembered,0.1863447409604443,Stress
2,forgotten,0.056502980199189694,Stress
3,remembered,-0.2118762015509804,Control
3,forgotten,-0.16530502984442066,Control
4,remembered,-0.2979318507228532,Stress
4,forgotten,0.06550461327815114,Stress
5,remembered,0.3173534261032993,Control
5,forgotten,0.30804718095819844,Control
7,remembered,0.09112088031206135,Control
7,forgotten,0.06291298758388987,Control
8,remembered,-0.2422679593861499,Control
8,forgotten,0.2611343918571594,Control
10,remembered,0.42065851893514905,Stress
10,forgotten,0.5406723715671111,Stress
13,remembered,0.1311886559555365,Control
13,forgotten,-0.03526736500740912,Control
14,remembered,-0.011642359659313602,Stress
14,forgotten,-0.08986040270595459,Stress
15,remembered,0.11178197592266816,Control
15,forgotten,0.003121819389470367,Control
17,remembered,-0.12348671658388474,Control
17,forgotten,0.06026222285057504,Control
20,remembered,0.047367889715688706,Control
20,forgotten,0.15209965161319683,Control
21,remembered,0.03179985406426716,Stress
21,forgotten,0.0644842862906273,Stress
23,remembered,0.3635389218100609,Stress
23,forgotten,0.0732924561054728,Stress
24,remembered,0.27900908755785764,Stress
24,forgotten,0.10472556978536421,Stress
28,remembered,0.22176308944444584,Stress
28,forgotten,0.2994112987173676,Stress
29,remembered,0.036848492270936006,Control
29,forgotten,-0.0592586455459826,Control
30,remembered,-0.3790179957052758,Stress
30,forgotten,0.3616992419494856,Stress
31,remembered,0.1351464987574156,Control
31,forgotten,0.06303417926987702,Control
32,remembered,0.08104677817752336,Stress
32,forgotten,-0.1165132981683378,Stress
33,remembered,-0.017299982652265032,Stress
33,forgotten,-0.0181291653713946,Stress
34,remembered,0.3332694427773485,Control
34,forgotten,0.4628084926090119,Control
36,remembered,-0.05876731026417052,Control
36,forgotten,0.07087234457100047,Control
37,remembered,-0.08424980507709628,Stress
37,forgotten,0.20938827245561867,Stress
38,remembered,0.13787879666105693,Stress
38,forgotten,0.04257894222722337,Stress
39,remembered,0.15492671214102174,Control
39,forgotten,0.2638281222816247,Control
40,remembered,-0.35441219142510655,Stress
40,forgotten,0.4486122866863992,Stress
41,remembered,0.2738457774233658,Control
41,forgotten,-0.28679802142447275,Control
42,remembered,-0.18870268252427208,Stress
42,forgotten,-0.050278657102238,Stress
43,remembered,0.008401024775161345,Stress
43,forgotten,0.13034371126990768,Stress
44,remembered,0.09584600359349689,Control
44,forgotten,0.20153072677095754,Control
45,remembered,0.25952510046809724,Control
45,forgotten,0.01948364738188122,Control
46,remembered,0.4057652420777994,Stress
46,forgotten,0.12882328239281937,Stress
47,remembered,0.08252460906536384,Stress
47,forgotten,0.3315807431490618,Stress
48,remembered,0.28605872284426054,Control
48,forgotten,0.1393067556783911,Control
49,remembered,0.16330160102938834,Control
49,forgotten,0.17791548401676857,Control
50,remembered,0.23489830171908888,Stress
50,forgotten,0.23606288455372457,Stress
52,remembered,0.23868578653743108,Control
52,forgotten,-0.017730438084894863,Control
53,remembered,0.09723206682772176,Control
53,forgotten,-0.05324649304269869,Control
54,remembered,0.015361971656002494,Stress
54,forgotten,0.2638974208326593,Stress
55,remembered,0.09123044482808963,Stress
55,forgotten,0.2634064216236845,Stress
56,remembered,0.07972410151883996,Control
56,forgotten,-0.07249356855437647,Control
57,remembered,0.3900451048775461,Control
57,forgotten,0.21399816338448904,Control
58,remembered,0.6514576866106191,Stress
58,forgotten,-0.049237886076894694,Stress
59,remembered,-0.327722613716463,Stress
59,forgotten,0.04661659076566028,Stress
60,remembered,0.4262167418366259,Stress
60,forgotten,0.2865890165189547,Stress
61,remembered,0.310524185522801,Stress
61,forgotten,0.11917383974590562,Stress
62,remembered,0.30944564260641166,Control
62,forgotten,0.0662544287890543,Control
63,remembered,0.12854007112210541,Stress
63,forgotten,0.13855704933767346,Stress
64,remembered,0.3527247576605407,Control
64,forgotten,0.37238994645508894,Control
65,remembered,0.04000247337092517,Stress
65,forgotten,0.11351321232011724,Stress
66,remembered,0.19445189906840063,Stress
66,forgotten,-0.42395779276821827,Stress
68,remembered,0.3162264916829291,Stress
68,forgotten,0.2674978139311528,Stress
69,remembered,-0.20076236361194325,Control
69,forgotten,0.23717892432801724,Control
71,remembered,0.3339141384156634,Control
71,forgotten,0.325145403059597,Control
72,remembered,0.37298275188978314,Stress
72,forgotten,0.255195958372741,Stress
73,remembered,-0.006203376445940495,Control
73,forgotten,0.07376037191615309,Control
74,remembered,0.4409516112780829,Control
74,forgotten,0.1588052881132991,Control
75,remembered,0.10300940353490545,Stress
75,forgotten,-0.021929022565306,Stress
76,remembered,-0.045696378214873774,Control
76,forgotten,0.33919995355890925,Control
77,remembered,0.1225248206984867,Stress
77,forgotten,0.07368070562618777,Stress
78,remembered,0.013381068869145425,Stress
78,forgotten,-0.05045956042494739,Stress
79,remembered,-0.14872809932062464,Control
79,forgotten,0.29388558322972846,Control
80,remembered,0.44264195402375284,Stress
80,forgotten,0.37447449283551254,Stress
81,remembered,0.1440321802153211,Control
81,forgotten,-0.11969537769131193,Control
82,remembered,0.9035678554442422,Control
82,forgotten,0.0875171943836821,Control
83,remembered,0.11992280751340664,Control
83,forgotten,-0.05361681673103957,Control
84,remembered,0.11825738358510904,Stress
84,forgotten,0.29662347134602995,Stress
85,remembered,-0.09583095626685614,Stress
85,forgotten,0.21719184509158088,Stress
86,remembered,0.11991400548405845,Control
86,forgotten,0.22477248585817888,Control
87,remembered,-0.14183698506229786,Control
87,forgotten,0.0033101480465813995,Control
88,remembered,-0.01525590843587541,Stress
88,forgotten,-0.22000103346939084,Stress
89,remembered,0.05798140528984505,Control
89,forgotten,0.3490388565445084,Control
90,remembered,0.34781111135360726,Stress
90,forgotten,0.23742761979622737,Stress
91,remembered,-0.012284345754845596,Control
91,forgotten,-0.161178291347623,Control
92,remembered,0.11648109126903089,Stress
92,forgotten,-0.2995559342708663,Stress
93,remembered,0.059139241186969164,Control
93,forgotten,-0.02021584114832971,Control
94,remembered,-0.035083807365572636,Control
94,forgotten,0.29369632137861046,Control
95,remembered,0.46752879777380524,Control
95,forgotten,-0.04558197094075021,Control
96,remembered,0.03955755088004478,Stress
96,forgotten,-0.00552455511317852,Stress
98,remembered,-0.04024327060658612,Stress
98,forgotten,-0.22989920539458966,Stress
100,remembered,0.24705564957409115,Control
100,forgotten,0.008064373717966882,Control
101,remembered,0.2137412915463861,Stress
101,forgotten,0.08395869893290368,Stress
103,remembered,-0.1369044342300959,Stress
103,forgotten,-0.2701562426777848,Stress
104,remembered,-0.08979716483284986,Stress
104,forgotten,-0.36552541821469103,Stress
105,remembered,-0.09000831618382506,Stress
105,forgotten,0.018557524601065713,Stress
106,remembered,0.038259320759243216,Control
106,forgotten,0.1432701856393499,Control
