subid,recog,ets,group
2,remembered,0.5399819174737773,Stress
2,forgotten,0.21825160925535755,Stress
3,remembered,-0.05657497044992477,Control
3,forgotten,0.06510393538566911,Control
4,remembered,0.0957080173721426,Stress
4,forgotten,0.3893535085736709,Stress
5,remembered,0.12422365633868696,Control
5,forgotten,0.29901968146739166,Control
7,remembered,0.32442913119507993,Control
7,forgotten,0.003409760848982548,Control
8,remembered,0.29919247999336074,Control
8,forgotten,0.47525405214618993,Control
10,remembered,0.3180388649107355,Stress
10,forgotten,0.7834059248792122,Stress
13,remembered,0.5335556657686876,Control
13,forgotten,0.08931261295975666,Control
14,remembered,0.2846088729222768,Stress
14,forgotten,0.34108269899387444,Stress
15,remembered,0.389403616303369,Control
15,forgotten,0.4001167757313163,Control
17,remembered,0.251451113720285,Control
17,forgotten,-0.008356649180211768,Control
20,remembered,0.2855417017588075,Control
20,forgotten,0.21934431034623336,Control
21,remembered,0.27042489510051937,Stress
21,forgotten,0.46633618048700154,Stress
23,remembered,0.5907113329381042,Stress
23,forgotten,0.13780101968538663,Stress
24,remembered,0.2790921349210403,Stress
24,forgotten,0.24379387796706264,Stress
28,remembered,0.299015202921228,Stress
28,forgotten,0.6227822244258108,Stress
29,remembered,0.36465267038605664,Control
29,forgotten,0.3046047537510494,Control
30,remembered,-0.14016823730832667,Stress
30,forgotten,0.34973269568882004,Stress
31,remembered,0.16494594138186136,Control
31,forgotten,0.497328059720238,Control
32,remembered,0.2799381807547718,Stress
32,forgotten,0.16292347177364974,Stress
33,remembered,0.2192100967648953,Stress
33,forgotten,0.11798853366874947,Stress
34,remembered,0.712806918307681,Control
34,forgotten,0.41515706063033964,Control
36,remembered,0.1981100945037499,Control
36,forgotten,0.5589792521541644,Control
37,remembered,0.3362072493795674,Stress
37,forgotten,0.26897376904875303,Stress
38,remembered,0.30843226570207866,Stress
38,forgotten,0.07286457579429306,Stress
39,remembered,0.46396281046657334,Control
39,forgotten,0.4459161826100077,Control
40,remembered,0.2623464914666798,Stress
40,forgotten,0.492940634223105,Stress
41,remembered,0.47208823598955957,Control
41,forgotten,0.6352459879208034,Control
42,remembered,-0.09681728856192465,Stress
42,forgotten,0.6485008125580871,Stress
43,remembered,0.06539016572780011,Stress
43,forgotten,0.4842171786899328,Stress
44,remembered,-0.023895282779704662,Control
44,forgotten,0.392276632505747,Control
45,remembered,0.9182080747100752,Control
45,forgotten,0.061328938335307115,Control
46,remembered,0.44213483759392785,Stress
46,forgotten,0.25534948095918186,Stress
47,remembered,0.15239852181802813,Stress
47,forgotten,0.3244374184377092,Stress
48,remembered,0.05845687788216653,Control
48,forgotten,0.38180995590759775,Control
49,remembered,0.3007398760061639,Control
49,forgotten,0.5729364240295849,Control
50,remembered,0.4368390871424452,Stress
50,forgotten,-0.10080106690927237,Stress
52,remembered,0.4482028270914965,Control
52,forgotten,0.465103269485588,Control
53,remembered,0.030850311284464763,Control
53,forgotten,0.017215154475485397,Control
54,remembered,0.7099945761830605,Stress
54,forgotten,0.4767494756239967,Stress
55,remembered,0.06901420343868112,Stress
55,forgotten,0.3404849865370552,Stress
56,remembered,0.2684541739654452,Control
56,forgotten,-0.05257253646367457,Control
57,remembered,0.8596640756069867,Control
57,forgotten,0.3814253869869841,Control
58,remembered,0.3923591022722923,Stress
58,forgotten,0.17520516508209638,Stress
59,remembered,0.03763109377209225,Stress
59,forgotten,0.1550855805536281,Stress
60,remembered,0.3717145102328624,Stress
60,forgotten,0.02646567722717051,Stress
61,remembered,-0.0516580459964133,Stress
61,forgotten,0.2132297821368668,Stress
62,remembered,0.13166870977154063,Control
62,forgotten,0.1566366001299686,Control
63,remembered,0.22796719939665278,Stress
63,forgotten,0.22427761351880457,Stress
64,remembered,0.5247786088740103,Control
64,forgotten,0.3414272639879722,Control
65,remembered,0.13644581070622963,Stress
65,forgotten,0.005867254956273593,Stress
66,remembered,-0.06256103193815131,Stress
66,forgotten,-0.2427734765847344,Stress
68,remembered,0.28340361059497493,Stress
68,forgotten,0.43120123521507536,Stress
