subid,recog,ets,group
2,remembered,0.5717179549391848,Stress
2,forgotten,0.27892744813493264,Stress
3,remembered,-0.13494283984441574,Control
3,forgotten,-0.1641054135978742,Control
4,remembered,0.06513478939807955,Stress
4,forgotten,0.05024393462886282,Stress
5,remembered,0.2649205781026562,Control
5,forgotten,0.33661264746487396,Control
7,remembered,0.24526700184995118,Control
7,forgotten,-0.24023503974527718,Control
8,remembered,0.2762961973038888,Control
8,forgotten,0.4000254228673131,Control
10,remembered,0.17596372146824604,Stress
10,forgotten,0.6103083604520096,Stress
13,remembered,0.36083111336196855,Control
13,forgotten,0.3574774799583339,Control
14,remembered,0.12080390893669408,Stress
14,forgotten,0.17269981433859646,Stress
15,remembered,0.14467803293693035,Control
15,forgotten,0.17262999083134492,Control
17,remembered,0.17721160620255044,Control
17,forgotten,0.066515680926128,Control
20,remembered,0.21729653493670759,Control
20,forgotten,-0.07593739117178913,Control
21,remembered,0.330072086367356,Stress
21,forgotten,0.04276829441618202,Stress
23,remembered,0.28445154461730965,Stress
23,forgotten,-0.12018989251868807,Stress
24,remembered,0.4042464087621572,Stress
24,forgotten,0.18687402144840776,Stress
28,remembered,0.218119343252987,Stress
28,forgotten,0.7228059564472064,Stress
29,remembered,0.3611932148724288,Control
29,forgotten,0.04972913918239163,Control
30,remembered,-0.041157457479518614,Stress
30,forgotten,0.24802272979392043,Stress
31,remembered,0.19115655478353247,Control
31,forgotten,0.288106299510332,Control
32,remembered,0.12996681436110694,Stress
32,forgotten,0.5475580344252926,Stress
33,remembered,0.028404023993782952,Stress
33,forgotten,0.0996438991146916,Stress
34,remembered,0.6754372111131598,Control
34,forgotten,0.42394421131566207,Control
36,remembered,0.43801464873312346,Control
36,forgotten,0.5105533757803884,Control
37,remembered,0.1739162100084307,Stress
37,forgotten,0.23458278132708338,Stress
38,remembered,0.02978624523978418,Stress
38,forgotten,-0.06090335230188618,Stress
39,remembered,0.4398249935108898,Control
39,forgotten,0.17567752451891502,Control
40,remembered,0.21669474628910393,Stress
40,forgotten,0.27014127285836914,Stress
41,remembered,0.47146923023276804,Control
41,forgotten,0.28438912311047293,Control
42,remembered,0.07653605374658562,Stress
42,forgotten,0.5568055020899298,Stress
43,remembered,0.2333115542885335,Stress
43,forgotten,0.43789130944330984,Stress
44,remembered,0.17851853738175352,Control
44,forgotten,0.17962275032116834,Control
45,remembered,0.942070703694268,Control
45,forgotten,0.5263324921876749,Control
46,remembered,0.6253214144896445,Stress
46,forgotten,0.4371640212681697,Stress
47,remembered,0.2361348088560111,Stress
47,forgotten,0.15026134838954447,Stress
48,remembered,0.5642570389918764,Control
48,forgotten,0.19679744299665203,Control
49,remembered,0.16499315157384417,Control
49,forgotten,0.33548748862953576,Control
50,remembered,0.48264700839951424,Stress
50,forgotten,0.30318733719738783,Stress
52,remembered,0.3364149199797563,Control
52,forgotten,0.5316669776766191,Control
53,remembered,0.29137989297719186,Control
53,forgotten,0.04204933842607007,Control
54,remembered,0.3832414150543964,Stress
54,forgotten,0.4101158150241384,Stress
55,remembered,0.07058158522237153,Stress
55,forgotten,0.26278284900023974,Stress
56,remembered,0.19323094732080753,Control
56,forgotten,0.09581449152325128,Control
57,remembered,0.6790652942352284,Control
57,forgotten,0.3001410875294162,Control
58,remembered,0.3325254094174783,Stress
58,forgotten,0.14742436496072564,Stress
59,remembered,0.29242955550537547,Stress
59,forgotten,0.22299526994811555,Stress
60,remembered,0.4850107174691125,Stress
60,forgotten,-0.06001644029381975,Stress
61,remembered,-0.1362671622672414,Stress
61,forgotten,-0.16591884639587287,Stress
62,remembered,0.24378999318204292,Control
62,forgotten,0.08095170933754373,Control
63,remembered,-0.09481295177317942,Stress
63,forgotten,0.10789948889874611,Stress
64,remembered,0.5646413653115304,Control
64,forgotten,0.47215945008794824,Control
65,remembered,-0.08472880185394753,Stress
65,forgotten,-0.02852091093338541,Stress
66,remembered,-0.046392526119860195,Stress
66,forgotten,-0.06443409327001706,Stress
68,remembered,-0.009389074867008764,Stress
68,forgotten,0.2263829513240235,Stress
69,remembered,0.0029006851594867546,Control
69,forgotten,0.3589301190282037,Control
71,remembered,0.3433722668183944,Control
71,forgotten,0.23786661122907926,Control
72,remembered,0.4959699146715487,Stress
72,forgotten,0.3348086170902778,Stress
73,remembered,0.21212338747600393,Control
73,forgotten,0.2774793807743203,Control
74,remembered,0.11625375188291247,Control
74,forgotten,-0.05565865923724549,Control
75,remembered,-0.09546443750260655,Stress
75,forgotten,0.23343939451382023,Stress
76,remembered,0.248889189559124,Control
76,forgotten,0.21188302408773882,Control
77,remembered,0.20552943118516298,Stress
77,forgotten,0.3775173615419902,Stress
78,remembered,0.49407052193970896,Stress
78,forgotten,0.4929841148521675,Stress
79,remembered,0.32945355208736526,Control
79,forgotten,0.5292633473522169,Control
80,remembered,0.2868386314040867,Stress
80,forgotten,0.48720519411387253,Stress
81,remembered,0.1691394096675691,Control
81,forgotten,-0.05669686476223928,Control
82,remembered,1.169180502487305,Control
82,forgotten,0.44121911112218065,Control
83,remembered,0.22720828684640845,Control
83,forgotten,0.07019258376818652,Control
84,remembered,0.050529512692517105,Stress
84,forgotten,0.5787723495501669,Stress
85,remembered,-0.10275369426828455,Stress
85,forgotten,0.3905908519116486,Stress
86,remembered,0.05116687376445516,Control
86,forgotten,-0.04044421611495098,Control
87,remembered,-0.25824363406786705,Control
87,forgotten,0.27448125418088776,Control
88,remembered,0.36845547920832905,Stress
88,forgotten,0.44512259922653385,Stress
89,remembered,0.20392464956470446,Control
89,forgotten,0.20922377483969995,Control
90,remembered,0.4719806145077412,Stress
90,forgotten,0.3080081879740051,Stress
91,remembered,0.09600199443558975,Control
91,forgotten,0.07041096997173064,Control
92,remembered,0.06779326936461266,Stress
92,forgotten,0.4006909064252782,Stress
93,remembered,0.15939638285577207,Control
93,forgotten,0.18673599370046867,Control
94,remembered,0.42903800294710104,Control
94,forgotten,-0.05090063415845103,Control
95,remembered,-0.0698654095808747,Control
95,forgotten,0.1690005660671557,Control
96,remembered,0.09704859307808236,Stress
96,forgotten,0.23197919500148134,Stress
98,remembered,0.3415493458942981,Stress
98,forgotten,0.42258932654164405,Stress
100,remembered,0.20922633076876326,Control
100,forgotten,0.26935529749713744,Control
101,remembered,0.4688298370630254,Stress
101,forgotten,0.27613876330950177,Stress
103,remembered,0.3945779738752505,Stress
103,forgotten,0.35164116625676944,Stress
104,remembered,0.12599126847497696,Stress
104,forgotten,0.2722464672055615,Stress
105,remembered,0.16697110075959923,Stress
105,forgotten,0.033149344521406644,Stress
106,remembered,0.2711535243175297,Control
106,forgotten,0.1515964383999543,Control
