onsetTR,cond,shiftedTR,subid,run,roi1,roi2,ets,group,category
26,A,29,2,2,CA1,CA23,0.0084499821324058,Stress,deserts
40,A,43,2,2,CA1,CA23,0.0353174754879077,Stress,canyons
49,A,52,2,2,CA1,CA23,0.675095437768008,Stress,deserts
60,A,63,2,2,CA1,CA23,-0.4306220379323199,Stress,canyons
68,A,71,2,2,CA1,CA23,-0.2963744968166823,Stress,marshes
78,A,81,2,2,CA1,CA23,-0.2636844389770046,Stress,marshes
91,A,94,2,2,CA1,CA23,0.0359536114911097,Stress,deserts
97,A,100,2,2,CA1,CA23,-1.197691168177028,Stress,canyons
115,A,118,2,2,CA1,CA23,-0.6766348209748914,Stress,marshes
133,A,136,2,2,CA1,CA23,-0.5127153347532913,Stress,canyons
140,A,143,2,2,CA1,CA23,1.15057648327966,Stress,marshes
148,A,151,2,2,CA1,CA23,2.1921205581632632,Stress,marshes
154,A,157,2,2,CA1,CA23,0.0435299694054642,Stress,canyons
174,A,177,2,2,CA1,CA23,0.1081472843691354,Stress,deserts
178,A,181,2,2,CA1,CA23,-0.6585413193393724,Stress,marshes
190,A,193,2,2,CA1,CA23,0.4243005837622451,Stress,deserts
198,A,201,2,2,CA1,CA23,0.490360842267056,Stress,marshes
207,A,210,2,2,CA1,CA23,-0.0519016552204537,Stress,canyons
217,A,220,2,2,CA1,CA23,0.9282833854716268,Stress,deserts
228,A,231,2,2,CA1,CA23,1.3873721101744243,Stress,canyons
5,A,8,2,3,CA1,CA23,0.0195582616140862,Stress,deserts
12,A,15,2,3,CA1,CA23,0.0414129893914045,Stress,marshes
19,A,22,2,3,CA1,CA23,1.9984691084415769,Stress,deserts
35,A,38,2,3,CA1,CA23,-0.743524049418078,Stress,deserts
46,A,49,2,3,CA1,CA23,0.4611212216027937,Stress,deserts
53,A,56,2,3,CA1,CA23,-0.044433631787847,Stress,marshes
57,A,60,2,3,CA1,CA23,-0.3249755506515176,Stress,canyons
69,A,72,2,3,CA1,CA23,2.4097379161517063,Stress,marshes
90,A,93,2,3,CA1,CA23,-0.0200762210262385,Stress,canyons
96,A,99,2,3,CA1,CA23,-0.1495366029449485,Stress,marshes
116,A,119,2,3,CA1,CA23,-1.4540319883285358,Stress,canyons
132,A,135,2,3,CA1,CA23,-0.0103215214602242,Stress,marshes
141,A,144,2,3,CA1,CA23,0.7548375817241142,Stress,deserts
161,A,164,2,3,CA1,CA23,-0.2169992084951577,Stress,canyons
171,A,174,2,3,CA1,CA23,0.3656999587513896,Stress,marshes
177,A,180,2,3,CA1,CA23,0.1207518132730232,Stress,deserts
