onsetTR,cond,shiftedTR,subid,run,roi1,roi2,ets,group,category
26,A,29,2,2,CA23,DG,0.0114181801882614,Stress,deserts
40,A,43,2,2,CA23,DG,-0.433321571377904,Stress,canyons
49,A,52,2,2,CA23,DG,-0.5227831808703911,Stress,deserts
60,A,63,2,2,CA23,DG,0.0466164922702262,Stress,canyons
68,A,71,2,2,CA23,DG,0.3290841771182385,Stress,marshes
78,A,81,2,2,CA23,DG,-0.6133071295268426,Stress,marshes
91,A,94,2,2,CA23,DG,-0.0336822951899454,Stress,deserts
97,A,100,2,2,CA23,DG,-1.8620135574967016,Stress,canyons
115,A,118,2,2,CA23,DG,1.3209619751210795,Stress,marshes
133,A,136,2,2,CA23,DG,-1.1758081169939556,Stress,canyons
140,A,143,2,2,CA23,DG,0.57939105940139,Stress,marshes
148,A,151,2,2,CA23,DG,2.1367420596221085,Stress,marshes
154,A,157,2,2,CA23,DG,0.2618170198387767,Stress,canyons
174,A,177,2,2,CA23,DG,0.0652976953808518,Stress,deserts
178,A,181,2,2,CA23,DG,-0.7727034236428844,Stress,marshes
190,A,193,2,2,CA23,DG,0.6543037765542213,Stress,deserts
198,A,201,2,2,CA23,DG,0.2665390557224096,Stress,marshes
207,A,210,2,2,CA23,DG,0.0752021341055615,Stress,canyons
217,A,220,2,2,CA23,DG,1.0100991012258826,Stress,deserts
228,A,231,2,2,CA23,DG,2.4256113799532333,Stress,canyons
5,A,8,2,3,CA23,DG,0.0263558453298358,Stress,deserts
12,A,15,2,3,CA23,DG,0.5662811536854051,Stress,marshes
19,A,22,2,3,CA23,DG,2.433083362730983,Stress,deserts
35,A,38,2,3,CA23,DG,0.1203702867297853,Stress,deserts
46,A,49,2,3,CA23,DG,-0.0783624500133589,Stress,deserts
53,A,56,2,3,CA23,DG,-0.090294352431086,Stress,marshes
57,A,60,2,3,CA23,DG,-1.080439414495007,Stress,canyons
69,A,72,2,3,CA23,DG,2.450063747938787,Stress,marshes
90,A,93,2,3,CA23,DG,0.0236671214862365,Stress,canyons
96,A,99,2,3,CA23,DG,0.5481903974381934,Stress,marshes
116,A,119,2,3,CA23,DG,1.2343519422394449,Stress,canyons
