onsetTR,cond,shiftedTR,subid,run,roi1,roi2,ets,group,category
26,A,29,2,2,CA23,EC,0.0179998682340368,Stress,deserts
40,A,43,2,2,CA23,EC,-0.2067269018479634,Stress,canyons
49,A,52,2,2,CA23,EC,0.9647615540078702,Stress,deserts
60,A,63,2,2,CA23,EC,0.3443038170848682,Stress,canyons
68,A,71,2,2,CA23,EC,-0.7967115666187357,Stress,marshes
78,A,81,2,2,CA23,EC,-1.0541280646719418,Stress,marshes
91,A,94,2,2,CA23,EC,-0.9748365594797468,Stress,deserts
97,A,100,2,2,CA23,EC,-2.0729036191931187,Stress,canyons
115,A,118,2,2,CA23,EC,1.025542232372439,Stress,marshes
133,A,136,2,2,CA23,EC,-0.792103832581547,Stress,canyons
140,A,143,2,2,CA23,EC,-0.3480779395911952,Stress,marshes
148,A,151,2,2,CA23,EC,1.6380652429941702,Stress,marshes
154,A,157,2,2,CA23,EC,0.0916608534170767,Stress,canyons
174,A,177,2,2,CA23,EC,-0.0198576298585235,Stress,deserts
178,A,181,2,2,CA23,EC,0.5414550634997446,Stress,marshes
190,A,193,2,2,CA23,EC,-0.3194662128428391,Stress,deserts
198,A,201,2,2,CA23,EC,-0.1863395044071683,Stress,marshes
207,A,210,2,2,CA23,EC,-0.1161794601073159,Stress,canyons
217,A,220,2,2,CA23,EC,0.1406842379478704,Stress,deserts
228,A,231,2,2,CA23,EC,0.421989781143877,Stress,canyons
5,A,8,2,3,CA23,EC,-0.037184055277438,Stress,deserts
12,A,15,2,3,CA23,EC,0.4813733319986075,Stress,marshes
19,A,22,2,3,CA23,EC,-0.2738151898838289,Stress,deserts
35,A,38,2,3,CA23,EC,2.5698189444258794,Stress,deserts
46,A,49,2,3,CA23,EC,-0.0602020192084112,Stress,deserts
53,A,56,2,3,CA23,EC,-0.0268741380791041,Stress,marshes
57,A,60,2,3,CA23,EC,-0.1994212872558589,Stress,canyons
69,A,72,2,3,CA23,EC,2.136107646763667,Stress,marshes
90,A,93,2,3,CA23,EC,-0.0441083704899037,Stress,canyons
96,A,99,2,3,CA23,EC,-1.289542393464893,Stress,marshes
116,A,119,2,3,CA23,EC,0.942174883386032,Stress,canyons
132,A,135,2,3,CA23,EC,0.003670251800109,Stress,marshes
141,A,144,2,3,CA23,EC,-0.2842490046400212,Stress,deserts
161,A,164,2,3,CA23,EC,-1.5969135914546868,Stress,canyons
171,A,174,2,3,CA23,EC,-0.0610342524154844,Stress,marshes
177,A,180,2,3,CA23,EC,0.0081357022426986,Stress,deserts
183,A,186,2,3,CA23,EC,1.5430318852612923,Stress,marshes
200,A,203,2,3,CA23,EC,1.695222657813031,Stress,canyons
212,A,215,2,3,CA23,EC,-1.4653697816945983,Stress,deserts
225,A,228,2,3,CA23,EC,0.0445573666878225,Stress,canyons
234,A,237,2,3,CA23,EC,2.232261712276456,Stress,canyons
5,A,8,2,4,CA23,EC,-0.1387703227074458,Stress,deserts
16,A,19,2,4,CA23,EC,-0.0647674558789058,Stress,marshes
22,A,25,2,4,CA23,EC,-0.1611000438157907,Stress,deserts
32,A,35,2,4,CA23,EC,-0.027939492968497,Stress,canyons
38,A,41,2,4,CA23,EC,0.0590008618440091,Stress,marshes
60,A,63,2,4,CA23,EC,1.800770283468191,Stress,deserts
85,A,88,2,4,CA23,EC,3.2846074693744463,Stress,marshes
90,A,93,2,4,CA23,EC,-0.3211682037417941,Stress,canyons
95,A,98,2,4,CA23,EC,0.1187348137995423,Stress,marshes
103,A,106,2,4,CA23,EC,0.3167486822163148,Stress,canyons
112,A,115,2,4,CA23,EC,-1.0637396471642098,Stress,deserts
118,A,121,2,4,CA23,EC,0.3976932725361345,Stress,canyons
141,A,144,2,4,CA23,EC,-1.817761839945082,Stress,marshes
152,A,155,2,4,CA23,EC,0.758852103316212,Stress,deserts
161,A,164,2,4,CA23,EC,-0.0006814516366382,Stress,deserts
172,A,175,2,4,CA23,EC,-0.0454028513749261,Stress,canyons
186,A,189,2,4,CA23,EC,-0.0108895908371215,Stress,canyons
196,A,199,2,4,CA23,EC,-3.147280693261719,Stress,marshes
207,A,210,2,4,CA23,EC,0.2223345588771202,Stress,deserts
227,A,230,2,4,CA23,EC,0.2287708108925633,Stress,marshes
5,A,8,3,2,CA23,EC,-0.031394663211219,Control,bridges
16,A,19,3,2,CA23,EC,-2.6283954583529847,Control,forests
20,A,23,3,2,CA23,EC,1.6648880893733944,Control,bridges
25,A,28,3,2,CA23,EC,-0.5612563582047808,Control,parks
32,A,35,3,2,CA23,EC,-0.1713644147369199,Control,forests
39,A,42,3,2,CA23,EC,0.264588847706142,Control,parks
47,A,50,3,2,CA23,EC,-0.8066572246829717,Control,parks
52,A,55,3,2,CA23,EC,-0.0003425701867988,Control,bridges
61,A,64,3,2,CA23,EC,0.0004536889787495,Control,bridges
71,A,74,3,2,CA23,EC,-0.3060077173774052,Control,bridges
77,A,80,3,2,CA23,EC,-0.2941682078129858,Control,forests
81,A,84,3,2,CA23,EC,-0.1694548794103834,Control,bridges
91,A,94,3,2,CA23,EC,0.5965988863293988,Control,forests
114,A,117,3,2,CA23,EC,0.6612280593612111,Control,forests
121,A,124,3,2,CA23,EC,-0.9029786268222272,Control,bridges
