onsetTR,cond,shiftedTR,subid,run,roi1,roi2,ets,group,category
26,A,29,2,2,DG,EC,0.3481807712300071,Stress,deserts
40,A,43,2,2,DG,EC,0.9727059974279786,Stress,canyons
49,A,52,2,2,DG,EC,-1.5727420732019166,Stress,deserts
60,A,63,2,2,DG,EC,0.1511977652592664,Stress,canyons
68,A,71,2,2,DG,EC,-0.7569007447816563,Stress,marshes
78,A,81,2,2,DG,EC,1.4492855078901088,Stress,marshes
91,A,94,2,2,DG,EC,0.0150996455645267,Stress,deserts
97,A,100,2,2,DG,EC,1.2596337847894732,Stress,canyons
115,A,118,2,2,DG,EC,1.2073362377524188,Stress,marshes
133,A,136,2,2,DG,EC,0.3600996755585288,Stress,canyons
140,A,143,2,2,DG,EC,-0.3580455750674072,Stress,marshes
148,A,151,2,2,DG,EC,1.3093366069429215,Stress,marshes
154,A,157,2,2,DG,EC,0.3306759650242677,Stress,canyons
174,A,177,2,2,DG,EC,-0.0740472819555408,Stress,deserts
178,A,181,2,2,DG,EC,-0.82356483315694,Stress,marshes
190,A,193,2,2,DG,EC,-0.6150619906474698,Stress,deserts
198,A,201,2,2,DG,EC,-0.1280825410009183,Stress,marshes
207,A,210,2,2,DG,EC,-0.6993936211075701,Stress,canyons
217,A,220,2,2,DG,EC,0.3935164602411584,Stress,deserts
228,A,231,2,2,DG,EC,0.2255239895116629,Stress,canyons
5,A,8,2,3,DG,EC,-0.0608740764263479,Stress,deserts
12,A,15,2,3,DG,EC,0.6466658699366343,Stress,marshes
19,A,22,2,3,DG,EC,-0.6004962683548274,Stress,deserts
35,A,38,2,3,DG,EC,0.1245760768193451,Stress,deserts
46,A,49,2,3,DG,EC,0.0084593691918891,Stress,deserts
53,A,56,2,3,DG,EC,0.5956592126603735,Stress,marshes
57,A,60,2,3,DG,EC,0.1261232210637527,Stress,canyons
69,A,72,2,3,DG,EC,2.5191443425848496,Stress,marshes
90,A,93,2,3,DG,EC,-0.2003742720760821,Stress,canyons
96,A,99,2,3,DG,EC,-1.028982536749201,Stress,marshes
116,A,119,2,3,DG,EC,0.2859692110370124,Stress,canyons
132,A,135,2,3,DG,EC,-0.0149905304112327,Stress,marshes
141,A,144,2,3,DG,EC,0.0575550623254653,Stress,deserts
161,A,164,2,3,DG,EC,-0.3462358369090114,Stress,canyons
171,A,174,2,3,DG,EC,-0.0708687045670451,Stress,marshes
