onsetTR,cond,shiftedTR,subid,run,roi1,roi2,ets,group,category
26,A,29,2,2,CA1,EC,0.2576698954852294,Stress,deserts
40,A,43,2,2,CA1,EC,-0.0792795062379745,Stress,canyons
49,A,52,2,2,CA1,EC,2.0309586024490764,Stress,deserts
60,A,63,2,2,CA1,EC,-1.396696461615641,Stress,canyons
68,A,71,2,2,CA1,EC,0.6816677706574633,Stress,marshes
78,A,81,2,2,CA1,EC,0.6231038539537813,Stress,marshes
91,A,94,2,2,CA1,EC,-0.016117868073388,Stress,deserts
97,A,100,2,2,CA1,EC,0.8102262484103464,Stress,canyons
115,A,118,2,2,CA1,EC,-0.6184324412617761,Stress,marshes
133,A,136,2,2,CA1,EC,0.1570227514422676,Stress,canyons
140,A,143,2,2,CA1,EC,-0.7110203237180165,Stress,marshes
148,A,151,2,2,CA1,EC,1.343271023617573,Stress,marshes
154,A,157,2,2,CA1,EC,0.0549785290868124,Stress,canyons
174,A,177,2,2,CA1,EC,-0.1226385159797805,Stress,deserts
178,A,181,2,2,CA1,EC,-0.7018882732935018,Stress,marshes
190,A,193,2,2,CA1,EC,-0.3988532101343658,Stress,deserts
198,A,201,2,2,CA1,EC,-0.2356377474013634,Stress,marshes
207,A,210,2,2,CA1,EC,0.48269489979042,Stress,canyons
217,A,220,2,2,CA1,EC,0.3616425274590801,Stress,deserts
228,A,231,2,2,CA1,EC,0.1289925071302159,Stress,canyons
5,A,8,2,3,CA1,EC,-0.0451737023556818,Stress,deserts
12,A,15,2,3,CA1,EC,0.0472916441544634,Stress,marshes
19,A,22,2,3,CA1,EC,-0.4932314529061425,Stress,deserts
35,A,38,2,3,CA1,EC,-0.7695031025826836,Stress,deserts
46,A,49,2,3,CA1,EC,-0.049778875661595,Stress,deserts
53,A,56,2,3,CA1,EC,0.2931224535509033,Stress,marshes
57,A,60,2,3,CA1,EC,0.0379354572456922,Stress,canyons
69,A,72,2,3,CA1,EC,2.477681506733368,Stress,marshes
90,A,93,2,3,CA1,EC,0.1699724310161883,Stress,canyons
96,A,99,2,3,CA1,EC,0.2806881582643912,Stress,marshes
116,A,119,2,3,CA1,EC,-0.3368637147121121,Stress,canyons
132,A,135,2,3,CA1,EC,-0.0026696613815913,Stress,marshes
141,A,144,2,3,CA1,EC,-0.5643856578607801,Stress,deserts
161,A,164,2,3,CA1,EC,0.1825881740232743,Stress,canyons
171,A,174,2,3,CA1,EC,-0.2790129074787803,Stress,marshes
177,A,180,2,3,CA1,EC,0.0886968346862934,Stress,deserts
183,A,186,2,3,CA1,EC,0.8413751625699648,Stress,marshes
200,A,203,2,3,CA1,EC,-0.4897006376073139,Stress,canyons
212,A,215,2,3,CA1,EC,-0.3305296320822579,Stress,deserts
225,A,228,2,3,CA1,EC,-0.009479520103649,Stress,canyons
234,A,237,2,3,CA1,EC,1.489606323743714,Stress,canyons
5,A,8,2,4,CA1,EC,-1.33235598374427,Stress,deserts
16,A,19,2,4,CA1,EC,-1.2462864359762371,Stress,marshes
22,A,25,2,4,CA1,EC,-0.0655537612234378,Stress,deserts
32,A,35,2,4,CA1,EC,2.482899511611397,Stress,canyons
38,A,41,2,4,CA1,EC,0.0798359046304817,Stress,marshes
60,A,63,2,4,CA1,EC,1.6074130539638627,Stress,deserts
85,A,88,2,4,CA1,EC,1.069667048349994,Stress,marshes
90,A,93,2,4,CA1,EC,0.6950841765023231,Stress,canyons
95,A,98,2,4,CA1,EC,0.3796453645971243,Stress,marshes
103,A,106,2,4,CA1,EC,1.2213732388771177,Stress,canyons
112,A,115,2,4,CA1,EC,2.587416364442272,Stress,deserts
118,A,121,2,4,CA1,EC,1.221112790615524,Stress,canyons
141,A,144,2,4,CA1,EC,-0.3813602270769718,Stress,marshes
152,A,155,2,4,CA1,EC,0.2928577009268761,Stress,deserts
161,A,164,2,4,CA1,EC,-0.0002036703693486,Stress,deserts
172,A,175,2,4,CA1,EC,0.0387519796524641,Stress,canyons
186,A,189,2,4,CA1,EC,4.6050256934638485,Stress,canyons
196,A,199,2,4,CA1,EC,0.8292095224454804,Stress,marshes
207,A,210,2,4,CA1,EC,1.118753672001471,Stress,deserts
227,A,230,2,4,CA1,EC,0.1344809311698192,Stress,marshes
5,A,8,3,2,CA1,EC,-0.2180723652908103,Control,bridges
16,A,19,3,2,CA1,EC,-0.1244665410659625,Control,forests
20,A,23,3,2,CA1,EC,0.5256739468452519,Control,bridges
25,A,28,3,2,CA1,EC,-1.7675233621790465,Control,parks
32,A,35,3,2,CA1,EC,0.2141464343024267,Control,forests
39,A,42,3,2,CA1,EC,0.3218709328367771,Control,parks
47,A,50,3,2,CA1,EC,-0.0109126325361561,Control,parks
52,A,55,3,2,CA1,EC,-0.0004540177318509,Control,bridges
61,A,64,3,2,CA1,EC,0.0130866877194047,Control,bridges
71,A,74,3,2,CA1,EC,0.1562133735915325,Control,bridges
77,A,80,3,2,CA1,EC,-0.4824558213216979,Control,forests
81,A,84,3,2,CA1,EC,0.3689264640767987,Control,bridges
91,A,94,3,2,CA1,EC,0.3379653475521411,Control,forests
114,A,117,3,2,CA1,EC,-1.288509164008633,Control,forests
121,A,124,3,2,CA1,EC,-0.6020421042378935,Control,bridges
139,A,142,3,2,CA1,EC,1.1104749577865525,Control,parks
163,A,166,3,2,CA1,EC,1.2229253635175514,Control,parks
191,A,194,3,2,CA1,EC,-0.0312681106899238,Control,parks
201,A,204,3,2,CA1,EC,-0.9360820544412408,Control,parks
212,A,215,3,2,CA1,EC,2.126111992461852,Control,forests
219,A,222,3,2,CA1,EC,-0.379673542011941,Control,forests
5,A,8,3,3,CA1,EC,-0.2417569426578917,Control,bridges
18,A,21,3,3,CA1,EC,-2.166265463928267,Control,parks
34,A,37,3,3,CA1,EC,-1.1799978885704254,Control,forests
52,A,55,3,3,CA1,EC,0.1552689383661876,Control,forests
57,A,60,3,3,CA1,EC,-0.2797016286775074,Control,parks
66,A,69,3,3,CA1,EC,0.1849391214055121,Control,bridges
77,A,80,3,3,CA1,EC,-0.4418954297008081,Control,parks
92,A,95,3,3,CA1,EC,-1.2131807654716993,Control,forests
101,A,104,3,3,CA1,EC,-0.0019283160907106,Control,bridges
111,A,114,3,3,CA1,EC,-0.0115233182749874,Control,forests
119,A,122,3,3,CA1,EC,0.7276623341890239,Control,parks
126,A,129,3,3,CA1,EC,-0.2712219966987723,Control,bridges
137,A,140,3,3,CA1,EC,0.3049167172843788,Control,bridges
145,A,148,3,3,CA1,EC,0.4394722457849979,Control,forests
152,A,155,3,3,CA1,EC,0.1152011246889514,Control,bridges
157,A,160,3,3,CA1,EC,-0.1469294353939393,Control,parks
175,A,178,3,3,CA1,EC,0.3016666992112409,Control,forests
198,A,201,3,3,CA1,EC,0.317845706822806,Control,forests
205,A,208,3,3,CA1,EC,0.2358050732868712,Control,parks
215,A,218,3,3,CA1,EC,0.4543071297075896,Control,parks
225,A,228,3,3,CA1,EC,0.257691806600429,Control,bridges
9,A,12,3,4,CA1,EC,0.0778794981352681,Control,bridges
25,A,28,3,4,CA1,EC,-1.5939264522004513,Control,forests
36,A,39,3,4,CA1,EC,0.0429561320928912,Control,parks
41,A,44,3,4,CA1,EC,-0.9319973530170914,Control,forests
46,A,49,3,4,CA1,EC,0.2041680750265138,Control,parks
52,A,55,3,4,CA1,EC,-0.3339846899292037,Control,bridges
64,A,67,3,4,CA1,EC,0.0503930571090428,Control,bridges
80,A,83,3,4,CA1,EC,0.1899693212746171,Control,forests
87,A,90,3,4,CA1,EC,-1.2008226347324804,Control,parks
96,A,99,3,4,CA1,EC,0.4054710888445101,Control,parks
100,A,103,3,4,CA1,EC,-0.1561178053832008,Control,bridges
118,A,121,3,4,CA1,EC,-0.0727207335595811,Control,forests
138,A,141,3,4,CA1,EC,-0.2150637708070338,Control,parks
154,A,157,3,4,CA1,EC,-0.9033125149190606,Control,forests
168,A,171,3,4,CA1,EC,-0.3818320501953239,Control,parks
184,A,187,3,4,CA1,EC,-1.7634767715041637,Control,parks
189,A,192,3,4,CA1,EC,-0.0507418634697196,Control,bridges
198,A,201,3,4,CA1,EC,-0.1908497489923512,Control,forests
208,A,211,3,4,CA1,EC,1.6583417440468873,Control,bridges
220,A,223,3,4,CA1,EC,-2.058423565742112,Control,bridges
226,A,229,3,4,CA1,EC,-0.4817971719656831,Control,forests
18,A,21,4,2,CA1,EC,0.2228951573731769,Stress,fields
36,A,39,4,2,CA1,EC,-0.1484024354986805,Stress,fields
43,A,46,4,2,CA1,EC,0.0965096130489439,Stress,lakes
56,A,59,4,2,CA1,EC,0.0450670746125227,Stress,bridges
99,A,102,4,2,CA1,EC,0.0228764540956943,Stress,fields
111,A,114,4,2,CA1,EC,0.0048481990429263,Stress,lakes
116,A,119,4,2,CA1,EC,-0.0463187286193149,Stress,bridges
121,A,124,4,2,CA1,EC,0.0029710832007626,Stress,fields
128,A,131,4,2,CA1,EC,0.7138678647753598,Stress,lakes
146,A,149,4,2,CA1,EC,0.0502080070401876,Stress,bridges
154,A,157,4,2,CA1,EC,0.3836401221374171,Stress,lakes
161,A,164,4,2,CA1,EC,-0.2609040334405038,Stress,fields
168,A,171,4,2,CA1,EC,-1.883237038913646,Stress,lakes
180,A,183,4,2,CA1,EC,-1.631262167738632,Stress,lakes
185,A,188,4,2,CA1,EC,0.5601095139700122,Stress,bridges
195,A,198,4,2,CA1,EC,0.4804015129871722,Stress,fields
204,A,207,4,2,CA1,EC,-2.1318018986076077,Stress,bridges
