subid,run,TR,trialtype,match_coherence,nonmatch_coherence
106,scene3,17,B1,-0.03405484478199967,-0.006897453874594692
106,scene3,48,B1,-0.05857136667049257,-0.007235383466245102
106,scene3,132,B1,-0.06228194854650301,0.05132211598169959
106,scene3,144,B1,-0.021048455255955615,0.04590911990920461
106,scene3,194,B1,-0.07449865878945015,0.02231297331089305
106,scene3,206,B1,0.019555212089696742,-0.02102243272425828
106,scene3,238,B1,-0.015235948120560438,0.013998091204376912
106,scene3,62,B2,-0.09753096336214317,0.013485975447759235
106,scene3,77,B2,-0.02454069063692514,0.04481099183644173
106,scene3,121,B2,0.030734740201081,0.004291051781729216
106,scene3,149,B2,-0.029552076665274662,-0.05179483419411614
106,scene3,190,B2,-0.023872764792057227,-0.023883439574838888
106,scene3,215,B2,0.007610262317447508,0.0278967575073301
106,scene3,242,B2,-0.10705085504539051,-0.00023569300906454188
106,scene3,28,B3,-0.018027311434379897,-0.0047617087269292285
106,scene3,82,B3,-0.007927287548153606,0.03441076891076022
106,scene3,93,B3,-0.0714054752102104,0.04276233271088017
106,scene3,104,B3,0.012604065127268064,-0.000530920676605036
106,scene3,159,B3,-0.010415507761639386,-0.029228566119298537
106,scene3,173,B3,-0.11103721615386979,-0.02631263165058371
106,scene3,220,B3,-0.04464201381059565,0.043626959686781965
