subid,run,TR,trialtype,match_coherence,nonmatch_coherence
3,scene3,66,X1,0.042871001367942196,-0.002524762884743075
3,scene3,75,X1,0.045979052949127054,-0.013744210308410703
3,scene3,92,X1,-0.05822829145456774,-0.004731125535694586
3,scene3,137,X1,0.007918515063573743,-0.005544333476917321
3,scene3,170,X1,-0.03783409256796416,0.008768518672130746
3,scene3,176,X1,-0.025974603854295494,-0.02632927350519608
3,scene3,194,X1,-0.04698967055775833,-0.013166068663462047
3,scene3,17,X2,0.03089369671271595,0.02436039180538566
3,scene3,34,X2,0.020359244482303075,-0.0069046236609150834
3,scene3,43,X2,0.03986554640673487,0.014306663112942743
3,scene3,101,X2,0.03527370971849368,0.006633774872510392
3,scene3,133,X2,-0.0169404464886922,-0.02791990392906905
3,scene3,173,X2,0.06698718306474381,-0.007423299659475876
3,scene3,213,X2,-0.1388006189069135,0.01470339732635225
3,scene3,12,X3,-0.12249576992008633,0.035447187444130064
3,scene3,110,X3,-0.05011745911834057,-0.0055609589426024305
3,scene3,126,X3,-0.03153657333838898,-0.011728992922676925
3,scene3,167,X3,-0.015348160913382527,-0.013285550642425597
3,scene3,182,X3,-0.030814926137318673,-0.001876778363361028
3,scene3,197,X3,-0.05266967198452365,0.033655109539599354
3,scene3,238,X3,-0.026696143465411635,-0.022612917393160844
3,scene3,15,X4,0.0053199969000296,-0.03600236389090479
3,scene3,32,X4,-0.016212991788359624,-0.01942863301697709
3,scene3,51,X4,-0.01405606464587854,0.006338703304142232
3,scene3,88,X4,-0.02633633505671867,-0.014081525878921546
3,scene3,190,X4,-0.06899156606046236,-0.005745612657735417
3,scene3,225,X4,0.030882704680865635,-0.0026934113879357466
3,scene3,235,X4,0.021946989587885813,-0.004253478513055897
3,scene3,49,X5,-0.055685147214213214,0.029914705537327724
3,scene3,64,X5,0.015750709631965426,0.01135233995945619
3,scene3,84,X5,-0.08379265550614236,0.00726965389006828
3,scene3,120,X5,0.0638173175715049,-0.032648989999307515
3,scene3,215,X5,0.09457313348487005,-0.02997496087015541
3,scene3,233,X5,0.019506888885326267,0.03258180225840289
3,scene3,241,X5,-0.008618268852520233,0.011513136277306386
3,scene3,28,X6,0.054124592333480936,-0.016676639880137862
3,scene3,45,X6,-0.10447614697515695,-0.00430853005771581
3,scene3,53,X6,0.042106743750407204,-0.014668314643107494
3,scene3,78,X6,-0.11297784986163352,-0.025622966850806377
3,scene3,145,X6,0.02177125333042936,-0.04235393503757129
3,scene3,153,X6,-0.09916802802713724,0.0550353386958817
3,scene3,186,X6,0.013805754850717717,0.0029171246196819122
