subid,run,TR,trialtype,match_coherence,nonmatch_coherence
8,scene3,35,A1,0.0957227030449445,-0.08417358224207447
8,scene3,64,A1,0.10074257111635049,-0.02216569181441304
8,scene3,75,A1,0.11645335277322318,-0.014305737964941981
8,scene3,117,A1,0.05296543601866263,-0.07266446589971935
8,scene3,157,A1,0.12877130576185267,-0.053549515026215744
8,scene3,182,A1,0.10051609782133114,0.024681110654673436
8,scene3,191,A1,-0.10414566393114554,0.00877175528390889
8,scene3,8,A2,0.04471128543280021,0.05087016689117579
8,scene3,60,A2,1.4058361533474117e-05,0.02785843140217922
8,scene3,90,A2,0.03140464059203868,0.016263888442250473
8,scene3,101,A2,0.129351641472751,0.020852498844163743
8,scene3,152,A2,0.07311439425650419,-0.06432724837007998
8,scene3,200,A2,-0.0077795878611496795,-0.02556808549330413
8,scene3,216,A2,0.02434897960199861,-0.007850638972361806
8,scene3,49,A3,-0.07391712467029561,0.011145204663242477
8,scene3,70,A3,0.06783378624561986,-0.05523706205369537
8,scene3,108,A3,-0.05008222006090759,-0.09125850709853174
8,scene3,129,A3,-0.039470235772868234,-0.13779987944669883
8,scene3,170,A3,-0.12420049447295983,0.1210544334319155
8,scene3,210,A3,-0.059832272123184226,-0.013050964348120237
8,scene3,229,A3,-0.020407933526985413,0.12377304214521834
