subid,run,TR,trialtype,match_coherence,nonmatch_coherence
95,scene2,19,A1,0.044874761823915484,0.03524152520198569
95,scene2,75,A1,0.0501411197182397,-0.0044579191694058455
95,scene2,95,A1,0.01710312113801086,-0.024190433397607885
95,scene2,111,A1,0.05219967198374672,-0.007511625711577763
95,scene2,160,A1,0.07412471208939432,0.0005924053213338804
95,scene2,229,A1,-0.0011074872055874662,-0.01677660056487135
95,scene2,239,A1,0.08453535864205534,-0.01633748602713345
95,scene2,10,A2,0.013787201603388284,-0.0412733287657465
95,scene2,35,A2,-0.003527515102372632,-0.02411795085729391
95,scene2,81,A2,-0.03127929405977183,-0.013237098012104478
95,scene2,105,A2,0.0060125854055352096,0.005408016917308349
95,scene2,136,A2,0.030061398275213095,-0.010734635556839478
95,scene2,183,A2,-0.00431058416591705,0.004208163134405316
95,scene2,206,A2,-0.05436123180178312,-0.016676962009235623
95,scene2,40,A3,0.01905674114769724,-0.01951775125140296
95,scene2,70,A3,-0.01880203564611979,0.007430402033955069
95,scene2,87,A3,0.01707726488765514,-0.0038000168720645554
95,scene2,100,A3,0.007007938416883452,-0.019310588645208047
95,scene2,121,A3,-0.026249444696575922,-0.016229666766132765
95,scene2,147,A3,0.011506727130488682,-0.023400302733851713
95,scene2,235,A3,-0.005381434000044877,-0.025206793069081492
