subid,group,run,TR,trialtype,recog,repetition
101,Stress,scene2,8,X5,remembered,1
101,Stress,scene2,11,A3,remembered,1
101,Stress,scene2,13,B3,forgotten,1
101,Stress,scene2,16,X2,forgotten,1
101,Stress,scene2,19,X4,forgotten,1
101,Stress,scene2,22,A1,remembered,1
101,Stress,scene2,25,B1,forgotten,1
101,Stress,scene2,28,A2,forgotten,1
101,Stress,scene2,32,B2,remembered,1
101,Stress,scene2,35,X5,forgotten,2
101,Stress,scene2,38,X4,forgotten,2
101,Stress,scene2,42,X3,forgotten,1
101,Stress,scene2,44,A1,forgotten,2
101,Stress,scene2,48,B1,forgotten,2
101,Stress,scene2,51,A2,forgotten,2
101,Stress,scene2,54,B2,remembered,2
101,Stress,scene2,57,X2,forgotten,2
101,Stress,scene2,59,A1,forgotten,3
101,Stress,scene2,61,B1,remembered,3
101,Stress,scene2,65,X4,forgotten,3
101,Stress,scene2,67,A2,forgotten,3
101,Stress,scene2,69,B2,remembered,3
101,Stress,scene2,71,X5,forgotten,3
101,Stress,scene2,73,X3,remembered,2
101,Stress,scene2,75,X5,remembered,4
101,Stress,scene2,78,X6,remembered,1
101,Stress,scene2,80,A1,forgotten,4
101,Stress,scene2,84,B1,remembered,4
101,Stress,scene2,87,X5,forgotten,5
101,Stress,scene2,90,X6,forgotten,2
101,Stress,scene2,92,X4,forgotten,4
101,Stress,scene2,96,X6,forgotten,3
101,Stress,scene2,100,A2,remembered,4
101,Stress,scene2,102,B2,forgotten,4
101,Stress,scene2,104,X1,forgotten,1
101,Stress,scene2,107,X4,remembered,5
101,Stress,scene2,109,X3,forgotten,3
101,Stress,scene2,112,X2,remembered,3
101,Stress,scene2,116,X5,forgotten,6
101,Stress,scene2,119,X1,forgotten,2
101,Stress,scene2,121,A3,forgotten,2
101,Stress,scene2,124,B3,remembered,2
101,Stress,scene2,127,X3,forgotten,4
101,Stress,scene2,129,X4,forgotten,6
101,Stress,scene2,132,A3,forgotten,3
101,Stress,scene2,135,B3,forgotten,3
101,Stress,scene2,137,A2,forgotten,5
101,Stress,scene2,139,B2,remembered,5
101,Stress,scene2,141,X2,forgotten,4
101,Stress,scene2,144,X5,forgotten,7
101,Stress,scene2,147,X2,forgotten,5
101,Stress,scene2,151,X1,forgotten,3
101,Stress,scene2,153,X2,forgotten,6
101,Stress,scene2,157,A3,forgotten,4
101,Stress,scene2,159,B3,forgotten,4
101,Stress,scene2,163,X6,forgotten,4
101,Stress,scene2,167,A3,remembered,5
101,Stress,scene2,171,B3,remembered,5
101,Stress,scene2,173,X3,forgotten,5
101,Stress,scene2,177,X1,remembered,4
101,Stress,scene2,179,X4,forgotten,7
101,Stress,scene2,182,A1,remembered,5
101,Stress,scene2,185,B1,forgotten,5
101,Stress,scene2,188,X1,forgotten,5
101,Stress,scene2,191,X3,forgotten,6
101,Stress,scene2,193,A1,forgotten,6
101,Stress,scene2,195,B1,forgotten,6
101,Stress,scene2,197,X6,forgotten,5
101,Stress,scene2,200,A3,forgotten,6
101,Stress,scene2,204,B3,remembered,6
101,Stress,scene2,208,A2,remembered,6
101,Stress,scene2,210,B2,forgotten,6
101,Stress,scene2,212,X6,forgotten,6
101,Stress,scene2,214,A2,forgotten,7
101,Stress,scene2,218,B2,forgotten,7
101,Stress,scene2,221,X2,remembered,7
101,Stress,scene2,223,A1,remembered,7
101,Stress,scene2,225,B1,remembered,7
101,Stress,scene2,228,A3,forgotten,7
101,Stress,scene2,231,B3,remembered,7
101,Stress,scene2,235,X1,forgotten,6
101,Stress,scene2,238,X6,remembered,7
101,Stress,scene2,241,X1,forgotten,7
101,Stress,scene2,243,X3,remembered,7
